hitid	uid	pc
1	81	PartialChain(chain=[279, 130, 259, 174, 420, 131, 231, 330, 70, 22, 163, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	83	PartialChain(chain=[330, 258, 131, 231, 259, 283, 449, 216, 3, 163, 112, 420, 318, 130, 22, 349, 70, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	84	PartialChain(chain=[131, 216, 259, 163, 231, 112, 349, 420, 318, 258, 130, 3, 330, 279, 174, 283], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	85	PartialChain(chain=[330, 112, 231, 449, 131, 216, 130, 420, 163, 259, 70, 318, 3, 279, 317, 174, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	90	PartialChain(chain=[349, 283, 258, 130, 231, 317, 70, 174, 279, 449, 131, 112, 420, 216, 259, 330, 3, 318, 22, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	95	PartialChain(chain=[420, 22, 131, 318, 130, 70, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	98	PartialChain(chain=[174, 259, 349, 163, 318, 420, 70, 130, 330, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	102	PartialChain(chain=[3, 283, 216, 349, 259, 163, 231, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	104	PartialChain(chain=[231, 279, 112, 318, 330, 163, 130, 259, 174, 131, 70, 258, 449, 349, 283, 22, 420], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	106	PartialChain(chain=[231, 420, 131, 174, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	108	PartialChain(chain=[349, 131, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	113	PartialChain(chain=[330, 258, 420, 112, 130, 259, 231, 283, 318, 70, 22, 317, 174, 216, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	117	PartialChain(chain=[283, 259, 330, 318, 22, 279, 420, 174, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	119	PartialChain(chain=[3, 420, 283], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	120	PartialChain(chain=[163, 3, 216, 259, 283, 420, 349, 22, 449, 130, 318, 174, 330, 317, 279, 70, 112, 131, 258, 231], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	124	PartialChain(chain=[420, 231, 349, 318, 3, 279, 283, 330, 22, 259, 163, 70, 130, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	125	PartialChain(chain=[283, 420, 259, 163, 279, 174, 318, 216, 22, 231, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	130	PartialChain(chain=[279, 420, 259, 163, 283, 318, 22, 330, 349, 231, 130, 70, 174, 112, 131, 3, 317, 258, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	134	PartialChain(chain=[112, 258, 330, 3, 317, 163, 70, 216, 130], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	136	PartialChain(chain=[330, 317, 258, 130, 112, 22, 449, 70, 283, 231, 216, 349, 420, 163, 259, 3, 318, 279, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	139	PartialChain(chain=[283, 258, 259, 449, 279, 131, 216, 349, 420, 317, 231, 130, 174, 70, 22, 3, 318, 163, 330, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	144	PartialChain(chain=[131, 283, 3, 330, 349, 279, 174, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	149	PartialChain(chain=[130, 318, 420, 283, 70, 258, 317, 330, 22, 163, 259, 216, 112, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	160	PartialChain(chain=[131, 318, 420, 216, 174, 163, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	161	PartialChain(chain=[283, 131, 231, 317, 349, 174, 130, 70, 258, 216, 449, 259, 420, 3, 330, 279, 22, 163, 318, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	163	PartialChain(chain=[420, 216, 174, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	165	PartialChain(chain=[318, 279, 3, 216, 112, 130, 330, 174, 70, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	168	PartialChain(chain=[70, 130, 283, 420, 317, 174, 318, 163, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	176	PartialChain(chain=[283, 174, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	178	PartialChain(chain=[349, 318, 279, 283, 131, 420, 216, 231, 174, 22, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	179	PartialChain(chain=[349, 420, 279, 318, 163, 259, 22, 131, 174, 216, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	180	PartialChain(chain=[163, 259, 174, 279, 112, 420, 216, 231, 22, 349, 317, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	184	PartialChain(chain=[130, 283, 330, 22, 112, 3, 231, 131, 420, 318, 174, 163, 259], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	185	PartialChain(chain=[3, 330, 163, 283, 279, 112, 231, 259, 174, 318, 131, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	187	PartialChain(chain=[22, 283, 318, 420, 259, 163, 174, 130], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	196	PartialChain(chain=[259, 258, 231, 112, 317, 174, 330, 349, 420, 3, 22, 130, 70, 279, 318, 163, 131, 449, 216, 283], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	201	PartialChain(chain=[283, 279, 330, 318, 420], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	205	PartialChain(chain=[3, 330, 259, 163, 174, 231, 318, 420], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	206	PartialChain(chain=[420, 283, 318, 174, 279, 163, 259], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	211	PartialChain(chain=[130, 259, 112, 163, 258, 283, 330, 231, 279, 349, 317, 3, 318, 174, 22, 449, 420, 131, 216, 70], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	214	PartialChain(chain=[130, 330, 70, 318, 258, 420, 317, 279, 22, 163, 259, 112, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	217	PartialChain(chain=[130, 174, 259, 163, 3, 70, 420, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	224	PartialChain(chain=[259, 22, 163, 130, 70, 349, 279, 318, 330, 3, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	228	PartialChain(chain=[131, 330, 317, 231, 420, 318, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	229	PartialChain(chain=[130, 112, 283, 131, 279, 231, 330, 70, 317, 258, 22, 174, 449, 420, 259, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	231	PartialChain(chain=[130, 70, 349, 330, 131, 283, 3, 279, 420, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	232	PartialChain(chain=[449, 131, 317, 420, 330, 216, 283, 130, 279, 174, 349, 318, 231], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	233	PartialChain(chain=[349, 231, 112, 420, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	234	PartialChain(chain=[174, 130, 3, 283, 279, 163, 259], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	240	PartialChain(chain=[130, 70, 22, 330, 259, 318, 349, 163, 420, 317, 279, 112, 174, 258, 231], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	241	PartialChain(chain=[279, 317, 349, 330, 258, 130, 231, 216, 70, 449, 283, 163, 420, 174, 22, 259, 318, 3, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	242	PartialChain(chain=[349, 279, 318, 420, 130, 259, 70, 3, 131, 163, 216, 231, 317, 174, 330, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	243	PartialChain(chain=[283, 449, 174, 349, 231, 318, 420, 22, 279, 259, 163, 3, 130, 131, 330, 112, 317], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	244	PartialChain(chain=[259, 163, 279, 231, 22, 420, 318, 174, 130, 317, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	246	PartialChain(chain=[349, 279, 420, 318, 22, 174, 330, 163, 259, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	252	PartialChain(chain=[349, 70, 130, 318, 283, 131, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	261	PartialChain(chain=[112, 317, 130, 349, 258, 231, 70, 283, 449, 163, 279, 259, 318, 174, 3, 330, 420, 22, 131, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	263	PartialChain(chain=[112, 420, 258], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	268	PartialChain(chain=[317, 279, 130, 259, 449, 70, 22, 349, 112, 258, 216, 131, 330, 3, 420, 318, 163, 174, 283, 231], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	281	PartialChain(chain=[318, 420, 22, 174, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	285	PartialChain(chain=[131, 216, 130, 330, 70], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	288	PartialChain(chain=[349, 279, 420, 22, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	290	PartialChain(chain=[130, 112, 330, 258, 70, 317, 420, 259, 279, 163, 349, 22, 318, 231, 174, 3, 216, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	296	PartialChain(chain=[216, 112, 349, 130, 330, 279, 131, 174, 449, 231, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	297	PartialChain(chain=[112, 130, 330, 70, 3, 317, 131, 283, 420, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	299	PartialChain(chain=[231, 349, 283, 279, 318, 420, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	308	PartialChain(chain=[349, 112, 130, 231, 330, 317, 283, 259, 163, 70, 174, 3, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	310	PartialChain(chain=[283, 259, 163, 318, 420, 330, 131, 231, 130, 22, 174, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	311	PartialChain(chain=[131, 174, 130, 330, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	327	PartialChain(chain=[163, 259, 318, 22, 112, 349, 174, 420, 279, 3, 131, 317, 231, 216, 130], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	329	PartialChain(chain=[216, 131, 349], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	330	PartialChain(chain=[259, 3, 330, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	331	PartialChain(chain=[449, 231, 258, 259, 163, 317, 174, 130, 318, 112, 349, 22, 279, 131, 283, 3, 330, 420, 216, 70], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	332	PartialChain(chain=[283, 130, 3, 231, 330, 174, 279], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	338	PartialChain(chain=[283, 349, 279, 259, 163, 112, 231, 420, 174, 22, 216, 330, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	343	PartialChain(chain=[283, 216, 131, 279, 3, 130, 259, 449, 22, 420, 163, 70, 318, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	348	PartialChain(chain=[130, 283, 279, 330, 22, 317, 70, 258, 216, 231, 3, 174, 449, 131, 112, 163, 420, 318, 349, 259], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
2	7	PartialChain(chain=[161, 328, 347, 131, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	14	PartialChain(chain=[161, 296, 455, 346, 328, 369, 347, 164, 94, 150], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	28	PartialChain(chain=[196, 161, 347, 346, 55, 296, 94, 369, 328, 131, 164, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	29	PartialChain(chain=[161, 346, 131, 94, 328, 380, 196, 347, 369, 438, 455, 296], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	30	PartialChain(chain=[382, 438, 455, 55, 346, 164, 161, 347, 94, 131, 296, 328, 150, 196, 413, 380, 369, 459, 209, 10], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	34	PartialChain(chain=[455, 161, 296, 131, 328, 94, 438, 55, 346, 164, 347], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	37	PartialChain(chain=[10, 296, 328, 161, 346, 164, 382, 413, 55, 94, 347, 455, 196, 438, 459, 380, 131], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	39	PartialChain(chain=[161, 346, 55, 455, 164, 131, 347, 94, 296, 328], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	48	PartialChain(chain=[296, 346, 347, 196, 455, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	51	PartialChain(chain=[161, 164, 328, 369, 94, 346, 347, 150, 196, 455, 131], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	53	PartialChain(chain=[455, 161, 438, 328, 55, 196], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	58	PartialChain(chain=[161, 328, 346, 55], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	60	PartialChain(chain=[328, 161, 346, 347, 296, 196, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	61	PartialChain(chain=[161, 94, 346, 164, 328, 369, 296, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	67	PartialChain(chain=[438, 455, 150, 346, 328], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	69	PartialChain(chain=[455, 328, 296, 164, 94, 55, 161, 346, 438, 369, 347, 150], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	71	PartialChain(chain=[382, 55, 455, 10, 296, 94, 161, 131], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	74	PartialChain(chain=[161, 346, 328, 296, 459, 380, 369, 55, 455, 196, 347, 150, 438, 382, 94, 131], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	81	PartialChain(chain=[346, 347, 161, 438, 328, 150], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	83	PartialChain(chain=[161, 382, 131, 164, 455, 55, 346, 296, 328], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	84	PartialChain(chain=[161, 328, 346, 347, 296, 438, 382, 455, 196, 94, 150, 459, 10, 55, 380, 164, 413, 369, 131, 209], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	85	PartialChain(chain=[55, 296, 131, 382, 438, 164, 455], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	90	PartialChain(chain=[161, 94, 382, 347, 131, 164, 459, 438, 328, 296, 346, 55, 455, 196, 369], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	95	PartialChain(chain=[438, 346, 161, 296, 131, 328, 55, 150, 455, 94, 347, 382], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	98	PartialChain(chain=[150, 455, 346, 161, 164, 347, 369, 328, 438], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
2	102	PartialChain(chain=[161, 196, 382, 94, 438, 296, 150, 347, 346, 369, 55, 328, 455], item_set={131, 196, 455, 328, 10, 459, 209, 150, 346, 347, 413, 94, 161, 164, 296, 369, 438, 55, 380, 382})
