m	n	tb_size	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
80	100	5	5	Borda	1	True	(60,)	4216.5	4216.5	0	0.003347158432006836	0.0013120174407958984	0.02998042106628418	0.0781397819519043
80	100	5	2	Plurality	1	True	(15, 68)	5.0	5.0	0	0.003324747085571289	3.695487976074219e-05	0	0.003454446792602539
80	100	5	2	2-approval	1	True	(15,)	8.0	8.0	100	0.0033326148986816406	3.790855407714844e-05	0	0.0035805702209472656
80	100	5	2	Borda	1	True	(15,)	4293.5	4293.5	0	0.0033075809478759766	0.0012822151184082031	0.02914118766784668	0.07599902153015137
80	100	5	8	Plurality	1	True	(26,)	7.0	7.0	100	0.0033223628997802734	3.719329833984375e-05	0	0.0035691261291503906
80	100	5	8	2-approval	1	True	(26,)	9.0	9.0	100	0.003309488296508789	3.337860107421875e-05	0	0.0035409927368164062
80	100	5	8	Borda	1	True	(62,)	4326.0	4326.0	0	0.003325223922729492	0.0012917518615722656	0.029926776885986328	0.07707905769348145
80	100	5	1	Plurality	1	True	(9, 47)	5.0	5.0	0	0.0033113956451416016	3.647804260253906e-05	0	0.0034325122833251953
80	100	5	1	2-approval	1	True	(56,)	9.0	9.0	100	0.0033028125762939453	3.743171691894531e-05	0	0.0035495758056640625
80	100	5	1	Borda	1	True	(56,)	4444.5	4306.5	2	0.003322124481201172	0.0012905597686767578	0.029482126235961914	0.0780179500579834
80	100	5	7	Plurality	1	True	(3, 24)	5.0	5.0	0	0.003335237503051758	3.7670135498046875e-05	0	0.0034584999084472656
80	100	5	7	2-approval	1	True	(21, 24)	8.0	8.0	0	0.0032927989959716797	3.743171691894531e-05	0	0.0034177303314208984
80	100	5	7	Borda	1	True	(21,)	4433.5	4295.5	2	0.003310680389404297	0.0012879371643066406	0.02974677085876465	0.07715916633605957
80	100	5	4	Plurality	1	True	(1, 38, 65)	4.0	4.0	0	0.003300189971923828	3.743171691894531e-05	0	0.0034542083740234375
80	100	5	4	2-approval	1	True	(43,)	9.0	9.0	100	0.0033159255981445312	3.647804260253906e-05	0	0.0035681724548339844
80	100	5	4	Borda	1	True	(72,)	4352.5	4283.5	1	0.003379344940185547	0.001308441162109375	0.029900789260864258	0.07804012298583984
80	1000	5	9	Plurality	1	True	(33, 78)	22.0	22.0	0	0.03342127799987793	5.4836273193359375e-05	0	0.034781455993652344
80	1000	5	9	2-approval	1	True	(46,)	36.0	36.0	1000	0.033536672592163086	5.1021575927734375e-05	0	0.03580355644226074
80	1000	5	9	Borda	1	True	(22,)	40432.5	40432.5	1	0.033211708068847656	0.012513399124145508	0.3092079162597656	0.8010587692260742
80	1000	10	2	Plurality	1	True	(67,)	26.0	26.0	1000	0.03265833854675293	4.172325134277344e-05	0	0.0347137451171875
80	1000	10	2	2-approval	1	True	(67, 77)	36.0	36.0	0	0.032926082611083984	4.744529724121094e-05	0	0.03432893753051758
80	1000	10	2	Borda	1	True	(8,)	40651.0	40651.0	0	0.03345370292663574	0.012439966201782227	0.25087451934814453	0.6792528629302979
80	1000	10	8	Plurality	1	True	(78,)	21.0	21.0	1000	0.032633304595947266	4.553794860839844e-05	0	0.03489398956298828
80	1000	10	8	2-approval	1	True	(42, 51)	33.0	33.0	0	0.032928466796875	4.3392181396484375e-05	0	0.03404641151428223
80	1000	10	8	Borda	1	True	(19,)	40813.5	40695.5	2	0.03285837173461914	0.01228642463684082	0.24970746040344238	0.6743419170379639
80	1000	10	5	Plurality	1	True	(50,)	21.0	21.0	1000	0.03255271911621094	4.029273986816406e-05	0	0.03466296195983887
80	1000	10	5	2-approval	1	True	(50,)	39.0	39.0	1000	0.03292703628540039	4.9114227294921875e-05	0	0.0352933406829834
80	1000	10	5	Borda	1	True	(34,)	40807.0	40630.0	3	0.03296041488647461	0.012408256530761719	0.24975919723510742	0.6775815486907959
80	1000	20	0	Plurality	1	True	(0, 76)	19.0	19.0	0	0.03211641311645508	5.125999450683594e-05	0	0.03354692459106445
80	1000	20	0	2-approval	1	True	(0, 41)	33.0	33.0	0	0.03216195106506348	4.673004150390625e-05	0	0.033567190170288086
80	1000	20	0	Borda	1	True	(0,)	41158.5	40963.5	12	0.032209157943725586	0.011764287948608398	0.13768434524536133	0.4277529716491699
80	1000	20	6	Plurality	1	True	(55,)	22.0	22.0	1000	0.03206992149353027	4.673004150390625e-05	0	0.0341641902923584
80	1000	20	6	2-approval	1	True	(19,)	42.0	42.0	1000	0.031974077224731445	3.886222839355469e-05	0	0.03402447700500488
80	1000	20	6	Borda	1	True	(12,)	41077.0	40726.0	17	0.032828330993652344	0.011833429336547852	0.13935613632202148	0.4322545528411865
80	1000	20	3	Plurality	1	True	(69,)	22.0	22.0	1000	0.03194236755371094	4.76837158203125e-05	0	0.03404808044433594
80	1000	20	3	2-approval	1	True	(18, 64)	36.0	36.0	0	0.032117366790771484	4.8160552978515625e-05	0	0.03343629837036133
80	1000	20	3	Borda	1	True	(60,)	40751.0	40712.0	3	0.032016754150390625	0.012186050415039062	0.14270830154418945	0.4407193660736084
80	1000	20	9	Plurality	1	True	(76,)	22.0	22.0	1000	0.03202319145202637	5.054473876953125e-05	0	0.03416180610656738
80	1000	20	9	2-approval	1	True	(13,)	36.0	36.0	1000	0.03223252296447754	5.0067901611328125e-05	0	0.03432607650756836
80	1000	20	9	Borda	1	True	(79,)	41403.5	41169.5	11	0.03224372863769531	0.011621713638305664	0.13877010345458984	0.42789649963378906
80	1000	5	2	Plurality	1	True	(9,)	21.0	21.0	1000	0.03348588943481445	4.792213439941406e-05	0	0.03574991226196289
80	1000	5	2	2-approval	1	True	(66,)	37.0	37.0	1000	0.03297734260559082	3.981590270996094e-05	0	0.03506636619567871
80	1000	5	2	Borda	1	True	(35,)	40720.5	40651.5	2	0.03354454040527344	0.012356996536254883	0.3103663921356201	0.8159682750701904
80	1000	5	8	Plurality	1	True	(2,)	22.0	22.0	1000	0.03350329399108887	4.8160552978515625e-05	0	0.03587841987609863
80	1000	5	8	2-approval	1	True	(2,)	39.0	39.0	1000	0.03358721733093262	4.9591064453125e-05	0	0.03577280044555664
80	1000	5	8	Borda	1	True	(47,)	40839.0	40701.0	2	0.03340601921081543	0.012440204620361328	0.30901479721069336	0.810955286026001
80	1000	5	5	Plurality	1	True	(57,)	21.0	21.0	1000	0.03338456153869629	4.935264587402344e-05	0	0.03558206558227539
80	1000	5	5	2-approval	1	True	(62,)	37.0	37.0	1000	0.03331303596496582	4.839897155761719e-05	0	0.0356292724609375
80	1000	5	5	Borda	1	True	(62,)	40415.0	40415.0	0	0.033392906188964844	0.012508630752563477	0.3115999698638916	0.8050460815429688
80	1000	10	1	Plurality	1	True	(62,)	22.0	22.0	1000	0.03300881385803223	4.38690185546875e-05	0	0.03529787063598633
80	1000	10	1	2-approval	1	True	(24,)	38.0	38.0	1000	0.03287339210510254	4.5299530029296875e-05	0	0.03518199920654297
80	1000	10	1	Borda	1	True	(33,)	40471.0	40471.0	1	0.032947540283203125	0.012565374374389648	0.25333619117736816	0.6873869895935059
80	1000	10	4	Plurality	1	True	(10, 33)	22.0	22.0	0	0.03310441970825195	4.9114227294921875e-05	0	0.03458523750305176
80	1000	10	4	2-approval	1	True	(5, 33)	34.0	34.0	0	0.03304100036621094	5.078315734863281e-05	0	0.03449892997741699
80	1000	10	4	Borda	1	True	(15,)	40486.0	40486.0	0	0.0330810546875	0.012505531311035156	0.25043296813964844	0.681891679763794
80	1000	10	7	Plurality	1	True	(19,)	20.0	20.0	1000	0.03278708457946777	4.220008850097656e-05	0	0.03499579429626465
80	1000	10	7	2-approval	1	True	(27,)	42.0	42.0	1000	0.03358888626098633	5.221366882324219e-05	0	0.03588438034057617
80	1000	10	7	Borda	1	True	(58,)	41270.5	40916.5	6	0.03320431709289551	0.012256383895874023	0.24992942810058594	0.6747081279754639
80	1000	20	2	Plurality	1	True	(38,)	23.0	23.0	1000	0.032476186752319336	4.839897155761719e-05	0	0.03473186492919922
80	1000	20	2	2-approval	1	True	(61,)	40.0	40.0	1000	0.031980276107788086	4.124641418457031e-05	0	0.0340876579284668
80	1000	20	2	Borda	1	True	(15,)	41074.0	40684.0	13	0.03232288360595703	0.012115001678466797	0.14035296440124512	0.4338350296020508
80	1000	20	8	Plurality	1	True	(70,)	23.0	23.0	1000	0.03209066390991211	4.935264587402344e-05	0	0.03420734405517578
80	1000	20	8	2-approval	1	True	(70,)	42.0	42.0	1000	0.03199458122253418	4.172325134277344e-05	0	0.03407144546508789
80	1000	20	8	Borda	1	True	(31,)	41369.5	41174.5	9	0.03251290321350098	0.011681318283081055	0.13839936256408691	0.4279286861419678
80	1000	20	5	Plurality	1	True	(59,)	20.0	20.0	1000	0.03234291076660156	5.030632019042969e-05	0	0.034512996673583984
80	1000	20	5	2-approval	1	True	(57,)	39.0	39.0	1000	0.0325770378112793	5.364418029785156e-05	0	0.03478837013244629
80	1000	20	5	Borda	1	True	(52,)	41821.0	41041.0	42	0.032273054122924805	0.011531591415405273	0.13507843017578125	0.42833375930786133
80	1000	5	1	Plurality	1	True	(4,)	22.0	22.0	1000	0.03316378593444824	5.1975250244140625e-05	0	0.03538370132446289
80	1000	5	1	2-approval	1	True	(7,)	43.0	43.0	1000	0.03359222412109375	4.982948303222656e-05	0	0.035952091217041016
80	1000	5	1	Borda	1	True	(54,)	40786.5	40579.5	4	0.033576250076293945	0.01255035400390625	0.3070995807647705	0.7932980060577393
80	1000	5	4	Plurality	1	True	(78,)	22.0	22.0	1000	0.033257246017456055	5.078315734863281e-05	0	0.03551650047302246
80	1000	5	4	2-approval	1	True	(75,)	38.0	38.0	1000	0.03300809860229492	4.1484832763671875e-05	0	0.035125017166137695
80	1000	5	4	Borda	1	True	(37,)	40536.0	40398.0	2	0.033476829528808594	0.012562274932861328	0.3098583221435547	0.8221557140350342
80	1000	5	7	Plurality	1	True	(28, 36, 49, 63)	19.0	19.0	0	0.032945871353149414	4.5299530029296875e-05	0	0.0350186824798584
80	1000	5	7	2-approval	1	True	(58,)	38.0	38.0	1000	0.033179521560668945	4.839897155761719e-05	0	0.035147666931152344
80	1000	5	7	Borda	1	True	(63,)	40489.0	40489.0	0	0.03305530548095703	0.012420415878295898	0.3092508316040039	0.7996935844421387
80	1000	10	3	Plurality	1	True	(36,)	24.0	24.0	1000	0.03298592567443848	4.9114227294921875e-05	0	0.0349123477935791
80	1000	10	3	2-approval	1	True	(36,)	39.0	39.0	1000	0.033016204833984375	5.030632019042969e-05	0	0.035253047943115234
80	1000	10	3	Borda	1	True	(21,)	40674.0	40674.0	1	0.03294634819030762	0.012385845184326172	0.24983549118041992	0.6767740249633789
80	1000	10	0	Plurality	1	True	(43,)	24.0	24.0	1000	0.03255271911621094	4.744529724121094e-05	0	0.03473353385925293
80	1000	10	0	2-approval	1	True	(43,)	37.0	37.0	1000	0.03258824348449707	4.124641418457031e-05	0	0.03463459014892578
80	1000	10	0	Borda	1	True	(39,)	40761.0	40643.0	4	0.032965898513793945	0.012346506118774414	0.24893522262573242	0.6752290725708008
80	1000	10	6	Plurality	1	True	(9,)	22.0	22.0	1000	0.0331113338470459	4.9114227294921875e-05	0	0.035401344299316406
80	1000	10	6	2-approval	1	True	(28,)	38.0	38.0	1000	0.03303360939025879	4.792213439941406e-05	0	0.03533649444580078
80	1000	10	6	Borda	1	True	(24,)	40586.0	40468.0	2	0.03289294242858887	0.012447595596313477	0.25289034843444824	0.6830847263336182
80	1000	10	9	Plurality	1	True	(12, 27)	22.0	22.0	0	0.03283429145812988	4.839897155761719e-05	0	0.03427267074584961
80	1000	10	9	2-approval	1	True	(2, 72)	34.0	34.0	0	0.03262901306152344	4.76837158203125e-05	0	0.034035444259643555
80	1000	10	9	Borda	1	True	(0,)	40923.5	40923.5	1	0.0331263542175293	0.01229548454284668	0.24640703201293945	0.6732902526855469
80	1000	20	1	Plurality	1	True	(22, 54)	21.0	21.0	0	0.03222203254699707	4.6253204345703125e-05	0	0.03347587585449219
80	1000	20	1	2-approval	1	True	(51,)	36.0	36.0	1000	0.032411813735961914	4.839897155761719e-05	0	0.03460860252380371
80	1000	20	1	Borda	1	True	(35,)	40898.5	40859.5	2	0.03221321105957031	0.012044906616210938	0.13961005210876465	0.439495325088501
80	1000	20	4	Plurality	1	True	(43, 74)	22.0	22.0	0	0.03241086006164551	5.173683166503906e-05	0	0.03389334678649902
80	1000	20	4	2-approval	1	True	(43, 74)	36.0	36.0	0	0.03223371505737305	4.076957702636719e-05	0	0.033542633056640625
80	1000	20	4	Borda	1	True	(35,)	41921.0	41453.0	25	0.03253602981567383	0.011321067810058594	0.13247418403625488	0.41303348541259766
80	1000	20	7	Plurality	1	True	(8, 17, 35)	20.0	20.0	0	0.032129764556884766	4.9591064453125e-05	0	0.03405928611755371
80	1000	20	7	2-approval	1	True	(21, 76)	36.0	36.0	0	0.03197669982910156	4.124641418457031e-05	0	0.033136606216430664
80	1000	20	7	Borda	1	True	(69,)	41205.0	40932.0	19	0.0324709415435791	0.011646747589111328	0.13773274421691895	0.42890405654907227
80	1000	5	3	Plurality	1	True	(9,)	23.0	23.0	1000	0.03340864181518555	5.078315734863281e-05	0	0.03581428527832031
80	1000	5	3	2-approval	1	True	(9,)	39.0	39.0	1000	0.03360342979431152	4.2438507080078125e-05	0	0.03592085838317871
80	1000	5	3	Borda	1	True	(69,)	40365.5	40365.5	0	0.03361368179321289	0.012423515319824219	0.3092219829559326	0.7986166477203369
80	1000	5	0	Plurality	1	True	(27,)	20.0	20.0	1000	0.03377842903137207	4.553794860839844e-05	0	0.036133527755737305
80	1000	5	0	2-approval	1	True	(25,)	36.0	36.0	1000	0.033308982849121094	4.6253204345703125e-05	0	0.03563380241394043
80	1000	5	0	Borda	1	True	(67,)	40456.5	40456.5	1	0.03365278244018555	0.012480020523071289	0.309999942779541	0.8022913932800293
80	1000	5	6	Plurality	1	True	(78,)	23.0	23.0	1000	0.033181190490722656	4.029273986816406e-05	0	0.03530120849609375
80	1000	5	6	2-approval	1	True	(78,)	38.0	38.0	1000	0.03360724449157715	5.030632019042969e-05	0	0.035848140716552734
80	1000	5	6	Borda	1	True	(49,)	40359.5	40359.5	0	0.033598899841308594	0.012479305267333984	0.3093078136444092	0.8003690242767334
80	10000	5	0	Plurality	1	True	(77,)	152.0	152.0	10000	0.33570218086242676	5.1975250244140625e-05	0	0.3584909439086914
80	10000	5	0	2-approval	1	True	(36,)	279.0	279.0	10000	0.33345770835876465	5.054473876953125e-05	0	0.3570845127105713
80	10000	5	0	Borda	1	True	(77,)	398375.0	398306.0	1	0.3351585865020752	0.12517142295837402	3.1254639625549316	8.202008247375488
80	10000	5	6	Plurality	1	True	(57,)	157.0	157.0	10000	0.3348371982574463	4.887580871582031e-05	0	0.35837721824645996
80	10000	5	6	2-approval	1	True	(78,)	283.0	283.0	10000	0.3333568572998047	5.030632019042969e-05	0	0.35673022270202637
80	10000	5	6	Borda	1	True	(55,)	398938.0	398248.0	10	0.33419036865234375	0.12538790702819824	3.1351075172424316	8.077622652053833
80	10000	5	3	Plurality	1	True	(8,)	146.0	146.0	10000	0.3345053195953369	5.054473876953125e-05	0	0.35712575912475586
80	10000	5	3	2-approval	1	True	(61,)	285.0	285.0	10000	0.3309483528137207	5.316734313964844e-05	0	0.3544156551361084
80	10000	5	3	Borda	1	True	(8,)	398993.0	398372.0	10	0.334758996963501	0.12462377548217773	3.1289281845092773	8.074424743652344
80	10000	5	9	Plurality	1	True	(67,)	153.0	153.0	10000	0.3334338665008545	5.1021575927734375e-05	0	0.356966495513916
80	10000	5	9	2-approval	1	True	(23,)	294.0	294.0	10000	0.33428025245666504	5.221366882324219e-05	0	0.3576931953430176
80	10000	5	9	Borda	1	True	(37,)	399801.0	398766.0	17	0.333646297454834	0.12557244300842285	3.1228060722351074	8.048025846481323
80	10000	5	2	Plurality	1	True	(14,)	154.0	154.0	10000	0.3337857723236084	5.030632019042969e-05	0	0.3563666343688965
80	10000	5	2	2-approval	1	True	(14,)	281.0	281.0	10000	0.3311452865600586	4.9591064453125e-05	0	0.4258711338043213
80	10000	5	2	Borda	1	True	(70,)	397229.0	397229.0	0	0.3351719379425049	0.1254560947418213	3.1351559162139893	8.092847347259521
80	10000	5	5	Plurality	1	True	(65,)	162.0	162.0	10000	0.33242011070251465	5.340576171875e-05	0	0.3560357093811035
80	10000	5	5	2-approval	1	True	(53,)	275.0	275.0	10000	0.33469128608703613	5.125999450683594e-05	0	0.3582150936126709
80	10000	5	5	Borda	1	True	(30,)	397868.5	397592.5	5	0.3322899341583252	0.12788915634155273	3.1341776847839355	8.084116697311401
80	10000	5	8	Plurality	1	True	(26,)	153.0	153.0	10000	0.33275270462036133	5.245208740234375e-05	0	0.35657715797424316
80	10000	5	8	2-approval	1	True	(26,)	292.0	292.0	10000	0.33237624168395996	5.078315734863281e-05	0	0.42444467544555664
80	10000	5	8	Borda	1	True	(1,)	399057.0	398436.0	9	0.33383893966674805	0.12532591819763184	3.1223573684692383	8.091365575790405
80	10000	5	4	Plurality	1	True	(69,)	149.0	149.0	10000	0.33141016960144043	5.054473876953125e-05	0	0.3542907238006592
80	10000	5	4	2-approval	1	True	(65,)	289.0	289.0	10000	0.3334205150604248	5.14984130859375e-05	0	0.3571000099182129
80	10000	5	4	Borda	1	True	(63,)	398003.5	397865.5	2	0.33261823654174805	0.12560606002807617	3.1287434101104736	8.05829668045044
80	10000	5	1	Plurality	1	True	(69,)	150.0	150.0	10000	0.33294248580932617	5.054473876953125e-05	0	0.35656237602233887
80	10000	5	1	2-approval	1	True	(60,)	285.0	285.0	10000	0.33133625984191895	5.173683166503906e-05	0	0.35520434379577637
80	10000	5	1	Borda	1	True	(60,)	399070.5	398518.5	10	0.332622766494751	0.1253666877746582	3.1223692893981934	8.08479356765747
80	10000	5	7	Plurality	1	True	(76,)	158.0	158.0	10000	0.33438682556152344	5.14984130859375e-05	0	0.3579709529876709
80	10000	5	7	2-approval	1	True	(5,)	300.0	300.0	10000	0.3317294120788574	5.340576171875e-05	0	0.3547065258026123
80	10000	5	7	Borda	1	True	(51,)	398644.0	398368.0	5	0.33338356018066406	0.12575459480285645	3.131150245666504	8.073768377304077
80	100000	5	5	Plurality	1	True	(52,)	1327.0	1327.0	100000	3.3524327278137207	9.202957153320312e-05	0	4.0850608348846436
80	100000	5	5	2-approval	1	True	(30,)	2637.0	2637.0	100000	3.359820604324341	5.14984130859375e-05	0	3.6265697479248047
80	100000	5	5	Borda	1	True	(52,)	3962969.5	3961313.5	28	3.367602586746216	1.2586472034454346	31.811076164245605	81.69994568824768
80	100000	5	2	Plurality	1	True	(37,)	1323.0	1323.0	100000	3.370345115661621	5.14984130859375e-05	0	4.536514759063721
80	100000	5	2	2-approval	1	True	(79,)	2586.0	2586.0	100000	3.3604636192321777	5.221366882324219e-05	0	3.625366687774658
80	100000	5	2	Borda	1	True	(70,)	3959220.5	3957633.5	24	3.3861706256866455	1.2655398845672607	31.44720482826233	81.1054139137268
80	100000	5	8	Plurality	1	True	(66,)	1309.0	1309.0	100000	3.3969597816467285	4.982948303222656e-05	0	3.659207582473755
80	100000	5	8	2-approval	1	True	(69,)	2607.0	2607.0	100000	3.3720359802246094	5.221366882324219e-05	0	3.6336638927459717
80	100000	5	8	Borda	1	True	(68,)	3957016.5	3956947.5	1	3.4010753631591797	1.2482187747955322	31.299179792404175	81.63832521438599
80	100000	5	1	Plurality	1	True	(23,)	1338.0	1338.0	100000	3.380747079849243	4.9591064453125e-05	0	3.6433160305023193
80	100000	5	1	2-approval	1	True	(54,)	2603.0	2603.0	100000	3.4079339504241943	5.2928924560546875e-05	0	3.66981840133667
80	100000	5	1	Borda	1	True	(40,)	3961584.0	3958617.0	50	3.388425588607788	1.2696762084960938	31.3220374584198	81.01215934753418
80	100000	5	7	Plurality	1	True	(35,)	1326.0	1326.0	100000	3.409778118133545	5.14984130859375e-05	0	3.670513391494751
80	100000	5	7	2-approval	1	True	(24,)	2658.0	2658.0	100000	3.38063907623291	5.14984130859375e-05	0	3.641653299331665
80	100000	5	7	Borda	1	True	(20,)	3964360.0	3963601.0	11	3.391160488128662	1.2520127296447754	31.53607940673828	82.3508689403534
80	100000	5	4	Plurality	1	True	(7,)	1331.0	1331.0	100000	3.34155535697937	5.173683166503906e-05	0	3.6093361377716064
80	100000	5	4	2-approval	1	True	(7,)	2604.0	2604.0	100000	3.3537964820861816	5.269050598144531e-05	0	3.6202707290649414
80	100000	5	4	Borda	1	True	(62,)	3959075.5	3958316.5	12	3.3742263317108154	1.2601385116577148	31.144842863082886	80.69510555267334
80	100000	5	0	Plurality	1	True	(47,)	1326.0	1326.0	100000	3.3802192211151123	5.221366882324219e-05	0	3.640371322631836
80	100000	5	0	2-approval	1	True	(26,)	2608.0	2608.0	100000	3.341535806655884	5.3882598876953125e-05	0	3.6039388179779053
80	100000	5	0	Borda	1	True	(54,)	3962779.0	3961123.0	33	3.3578810691833496	1.2501258850097656	31.0184006690979	80.21597957611084
80	100000	5	3	Plurality	1	True	(26,)	1334.0	1334.0	100000	3.4360060691833496	5.3882598876953125e-05	0	3.6926302909851074
80	100000	5	3	2-approval	1	True	(0,)	2588.0	2588.0	100000	3.344377279281616	5.14984130859375e-05	0	4.540898561477661
80	100000	5	3	Borda	1	True	(6,)	3959327.0	3958430.0	13	3.363863945007324	1.2876996994018555	31.001830577850342	79.97552371025085
80	100000	5	6	Plurality	1	True	(14,)	1346.0	1346.0	100000	3.3431198596954346	5.269050598144531e-05	0	3.605664014816284
80	100000	5	6	2-approval	1	True	(51,)	2638.0	2638.0	100000	3.362929105758667	5.221366882324219e-05	0	3.622271776199341
80	100000	5	6	Borda	1	True	(63,)	3963426.5	3958734.5	76	3.3973679542541504	1.2482738494873047	30.90872097015381	80.03568577766418
80	100000	5	9	Plurality	1	True	(19,)	1333.0	1333.0	100000	3.342236042022705	5.316734313964844e-05	0	3.6018447875976562
80	100000	5	9	2-approval	1	True	(64,)	2632.0	2632.0	100000	3.3422491550445557	5.2928924560546875e-05	0	3.604844570159912
80	100000	5	9	Borda	1	True	(67,)	3960960.0	3960408.0	9	3.3924050331115723	1.2578630447387695	31.19573974609375	81.48423671722412
80	1000000	5	2	Plurality	1	True	(74,)	12794.0	12794.0	1000000	34.141494035720825	5.245208740234375e-05	0	37.016260385513306
80	1000000	5	2	2-approval	1	True	(45,)	25447.0	25447.0	1000000	33.91864037513733	5.316734313964844e-05	0	36.82347893714905
80	1000000	5	2	Borda	1	True	(46,)	39535782.0	39532608.0	52	34.02167534828186	12.73914623260498	320.15016865730286	819.679616689682
80	1000000	5	5	Plurality	1	True	(44,)	12779.0	12779.0	1000000	34.88169884681702	5.936622619628906e-05	0	37.78436326980591
80	1000000	5	5	2-approval	1	True	(64,)	25286.0	25286.0	1000000	34.55573582649231	5.936622619628906e-05	0	37.49461770057678
80	1000000	5	5	Borda	1	True	(41,)	39531359.0	39530117.0	21	34.17037749290466	12.743905544281006	315.986976146698	814.864622592926
80	1000000	5	8	Plurality	1	True	(57,)	12736.0	12736.0	1000000	34.177645683288574	5.745887756347656e-05	0	37.08566331863403
80	1000000	5	8	2-approval	1	True	(31,)	25302.0	25302.0	1000000	34.1460657119751	5.793571472167969e-05	0	37.09270691871643
80	1000000	5	8	Borda	1	True	(51,)	39553124.5	39531044.5	371	34.207892417907715	12.766693830490112	314.3268349170685	813.6174852848053
80	1000000	5	1	Plurality	1	True	(65,)	12700.0	12700.0	1000000	34.06955695152283	5.173683166503906e-05	0	36.98567819595337
80	1000000	5	1	2-approval	1	True	(48,)	25279.0	25279.0	1000000	34.08207368850708	5.7220458984375e-05	0	37.00486493110657
80	1000000	5	1	Borda	1	True	(79,)	39524046.0	39523287.0	12	34.115025758743286	12.64433217048645	315.690633058548	815.9625608921051
80	1000000	5	7	Plurality	1	True	(71,)	12881.0	12881.0	1000000	34.2514009475708	6.031990051269531e-05	0	37.16109800338745
80	1000000	5	7	2-approval	1	True	(71,)	25532.0	25532.0	1000000	34.27445960044861	6.079673767089844e-05	0	37.19119429588318
80	1000000	5	7	Borda	1	True	(71,)	39531733.5	39528559.5	55	34.40960097312927	12.811700820922852	314.7851872444153	812.097161769867
80	1000000	5	4	Plurality	1	True	(35,)	12849.0	12849.0	1000000	34.24868392944336	5.412101745605469e-05	0	37.19661736488342
80	1000000	5	4	2-approval	1	True	(31,)	25408.0	25408.0	1000000	34.20486855506897	5.435943603515625e-05	0	37.175169467926025
80	1000000	5	4	Borda	1	True	(23,)	39528163.0	39523195.0	86	30.56656575202942	11.429808855056763	292.85814118385315	747.5325365066528
80	1000000	5	0	Plurality	1	True	(66,)	12747.0	12747.0	1000000	30.98996329307556	4.792213439941406e-05	0	33.712122201919556
80	1000000	5	0	2-approval	1	True	(32,)	25301.0	25301.0	1000000	31.193419456481934	4.863739013671875e-05	0	33.93005681037903
80	1000000	5	0	Borda	1	True	(79,)	39541264.0	39529672.0	192	31.283436059951782	11.638836145401001	298.0285255908966	761.4057874679565
80	1000000	5	3	Plurality	1	True	(59,)	12801.0	12801.0	1000000	31.524606466293335	4.887580871582031e-05	0	34.2190203666687
80	1000000	5	3	2-approval	1	True	(15,)	25445.0	25445.0	1000000	31.58374834060669	4.7206878662109375e-05	0	34.35596323013306
80	1000000	5	3	Borda	1	True	(38,)	39530326.5	39527911.5	36	31.5414879322052	11.732140064239502	296.62101435661316	764.7038762569427
80	1000000	5	6	Plurality	1	True	(14,)	12758.0	12758.0	1000000	31.575868606567383	5.269050598144531e-05	0	43.10663962364197
80	1000000	5	6	2-approval	1	True	(3,)	25558.0	25558.0	1000000	31.65776753425598	4.863739013671875e-05	0	34.35882329940796
