m	n	chain_size	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
80	1000	10	4	2-approval	1	True	(63,)	27.37183544302441	27.37183544303758	0	0.030505895614624023	0.012682914733886719	0.31691956520080566	0.4598207473754883
80	1000	10	4	Borda	1	True	(4,)	40202.22727272722	40123.22727272726	1	0.030953407287597656	0.012891769409179688	0.4948418140411377	1.0194244384765625
40	1000	5	7	Plurality	1	True	(33,)	26.37499999998674	26.374999999999623	0	0.01555776596069336	0.006957292556762695	0.09215545654296875	0.163923978805542
40	1000	5	7	2-approval	1	True	(33,)	52.51923076921608	52.519230769230006	0	0.015484809875488281	0.006949186325073242	0.10175061225891113	0.1751406192779541
40	1000	5	7	Borda	1	True	(3,)	19786.99999999997	19787.000000000007	0	0.015452146530151367	0.007046699523925781	0.13705706596374512	0.3036684989929199
80	1000	20	8	Plurality	1	True	(25,)	15.012500000007272	15.012499999999822	0	0.03152656555175781	0.012591123580932617	0.25463390350341797	0.3863532543182373
80	1000	20	8	2-approval	1	True	(25,)	29.303481012647495	29.303481012657883	0	0.03145861625671387	0.012693405151367188	0.2728586196899414	0.4068470001220703
80	1000	20	8	Borda	1	True	(65,)	40420.785714285805	40360.785714285725	1	0.03171825408935547	0.01303243637084961	0.6638283729553223	1.2007033824920654
10	1000	5	4	Plurality	1	True	(8,)	110.10000000000719	108.09999999999934	2	0.004242658615112305	0.0023603439331054688	0.008869647979736328	0.025439977645874023
10	1000	5	4	2-approval	1	True	(8,)	215.31111111111647	213.31111111110965	4	0.004258632659912109	0.002393007278442383	0.011983394622802734	0.03008556365966797
10	1000	5	4	Borda	1	True	(8,)	4662.166666666673	4606.166666666667	8	0.0042684078216552734	0.002456188201904297	0.021619796752929688	0.0476841926574707
80	1000	10	6	Plurality	1	True	(55,)	15.387500000013002	14.3874999999998	1	0.030800342559814453	0.01260519027709961	0.2965407371520996	0.43813014030456543
80	1000	10	6	2-approval	1	True	(55,)	30.493670886062915	28.493670886075563	2	0.030859708786010742	0.012721776962280273	0.31963062286376953	0.46503734588623047
80	1000	10	6	Borda	1	True	(15,)	40168.09090909088	40010.0909090909	2	0.031035423278808594	0.012836933135986328	0.49406862258911133	1.0224378108978271
40	1000	5	0	Plurality	1	True	(8,)	27.849999999986096	26.849999999999604	1	0.015356302261352539	0.006859302520751953	0.09133195877075195	0.16143202781677246
40	1000	5	0	2-approval	1	True	(8,)	55.4448717948559	53.44487179487101	2	0.015440702438354492	0.006913661956787109	0.10148382186889648	0.17503619194030762
40	1000	5	0	Borda	1	True	(8,)	19872.833333333343	19755.833333333325	3	0.015472173690795898	0.006974220275878906	0.13409423828125	0.2980470657348633
40	1000	5	9	Plurality	1	True	(8,)	25.8499999999865	25.849999999999678	0	0.015433311462402344	0.006922245025634766	0.09199833869934082	0.16227245330810547
40	1000	5	9	2-approval	1	True	(8,)	51.5076923076777	51.50769230769167	0	0.01541590690612793	0.0069446563720703125	0.10311675071716309	0.17725110054016113
40	1000	5	9	Borda	1	True	(20,)	19732.333333333314	19732.33333333334	0	0.015509843826293945	0.007086992263793945	0.13503360748291016	0.30050015449523926
20	1000	5	0	Plurality	1	True	(18,)	51.79999999999135	51.79999999999939	0	0.007917642593383789	0.003942966461181641	0.029346227645874023	0.06469082832336426
20	1000	5	0	2-approval	1	True	(18,)	102.96842105264379	102.96842105263036	0	0.007967233657836914	0.0039577484130859375	0.035027503967285156	0.07211899757385254
20	1000	5	0	Borda	1	True	(12,)	9622.5	9622.5	0	0.007920980453491211	0.0040683746337890625	0.05248570442199707	0.11303591728210449
80	1000	20	1	Plurality	1	True	(13,)	14.262500000007982	14.262499999999823	0	0.03149151802062988	0.012644052505493164	0.2559242248535156	0.3888421058654785
80	1000	20	1	2-approval	1	True	(37,)	28.069620253153655	28.069620253164253	0	0.03171086311340332	0.012749910354614258	0.2759230136871338	0.4131484031677246
80	1000	20	1	Borda	1	True	(73,)	40221.285714285645	40221.2857142857	0	0.03194737434387207	0.012958526611328125	0.6686077117919922	1.2041897773742676
10	1000	5	6	Plurality	1	True	(4,)	108.90000000000755	106.89999999999911	2	0.004311084747314453	0.0023813247680664062	0.008955717086791992	0.025908946990966797
10	1000	5	6	2-approval	1	True	(4,)	214.0222222222301	212.02222222222065	2	0.004314422607421875	0.002501249313354492	0.012170553207397461	0.03058481216430664
10	1000	5	6	Borda	1	True	(4,)	4591.500000000003	4573.5	2	0.0043277740478515625	0.002477884292602539	0.021724939346313477	0.04821610450744629
80	1000	10	8	Plurality	1	True	(60, 63)	13.375000000013788	13.375000000013788	0	0.03043365478515625	0.012584924697875977	0.2913975715637207	0.4272327423095703
80	1000	10	8	2-approval	1	True	(60,)	26.678797468340562	26.678797468354055	0	0.03068399429321289	0.0128021240234375	0.32082152366638184	0.466702938079834
80	1000	10	8	Borda	1	True	(60,)	40190.18181818177	40032.18181818181	2	0.031000614166259766	0.012967586517333984	0.49075984954833984	1.017258644104004
40	1000	5	2	Plurality	1	True	(34,)	25.924999999986063	25.924999999999667	0	0.015439271926879883	0.0068874359130859375	0.09084630012512207	0.16119909286499023
40	1000	5	2	2-approval	1	True	(34,)	51.76025641024161	51.760256410255764	0	0.015372276306152344	0.006920814514160156	0.10219812393188477	0.1758737564086914
40	1000	5	2	Borda	1	True	(34,)	19731.33333333334	19692.33333333334	1	0.015617132186889648	0.0070362091064453125	0.13614773750305176	0.30426716804504395
80	1000	5	5	Plurality	1	True	(77,)	13.000000000016271	12.999999999999824	0	0.030211687088012695	0.012651443481445312	0.3137013912200928	0.4582486152648926
80	1000	5	5	2-approval	1	True	(77,)	25.96202531644056	25.96202531645534	0	0.030359268188476562	0.012732744216918945	0.33692383766174316	0.48485636711120605
80	1000	5	5	Borda	1	True	(39,)	39797.0	39797.0	0	0.02986431121826172	0.01285696029663086	0.4036703109741211	0.9334540367126465
80	1000	10	1	Plurality	1	True	(74,)	13.712500000012742	13.712499999999793	0	0.03041982650756836	0.012653112411499023	0.2941608428955078	0.4347236156463623
80	1000	10	1	2-approval	1	True	(6,)	27.250316455683006	27.250316455695806	0	0.030462026596069336	0.012669801712036133	0.3132786750793457	0.45667409896850586
80	1000	10	1	Borda	1	True	(28,)	40022.81818181808	40022.818181818184	0	0.030686140060424805	0.012857198715209961	0.4941825866699219	1.0205821990966797
40	1000	5	4	Plurality	1	True	(32,)	26.049999999986632	26.049999999999617	0	0.015426158905029297	0.006888389587402344	0.09221649169921875	0.1647045612335205
40	1000	5	4	2-approval	1	True	(32,)	51.946153846139325	51.946153846153095	0	0.015540361404418945	0.007005453109741211	0.10234594345092773	0.176835298538208
40	1000	5	4	Borda	1	True	(25,)	19698.166666666657	19698.166666666657	0	0.015656709671020508	0.0070400238037109375	0.13438010215759277	0.29952144622802734
20	1000	5	7	Plurality	1	True	(11,)	52.099999999991894	52.099999999999476	0	0.008021116256713867	0.003927469253540039	0.02893209457397461	0.06400585174560547
20	1000	5	7	2-approval	1	True	(11,)	105.78421052632763	103.78421052631475	2	0.007960319519042969	0.004002094268798828	0.035100698471069336	0.07196187973022461
20	1000	5	7	Borda	1	True	(11,)	9709.5	9656.5	3	0.008074522018432617	0.004123687744140625	0.052063941955566406	0.11256051063537598
80	1000	5	7	Plurality	1	True	(76,)	13.087500000016377	13.087499999999793	0	0.030450820922851562	0.012784242630004883	0.31916236877441406	0.4658041000366211
80	1000	5	7	2-approval	1	True	(76,)	26.133860759478573	26.133860759493263	0	0.030202865600585938	0.012852907180786133	0.33491086959838867	0.48264122009277344
80	1000	5	7	Borda	1	True	(76,)	39917.5	39838.5	1	0.02983689308166504	0.012896299362182617	0.4099292755126953	0.9365143775939941
80	1000	10	3	Plurality	1	True	(48,)	13.487500000013448	13.487499999999825	0	0.03086709976196289	0.012587785720825195	0.2932257652282715	0.43186378479003906
80	1000	10	3	2-approval	1	True	(48,)	26.918037974669815	26.9180379746832	0	0.030812740325927734	0.012845039367675781	0.3189513683319092	0.46347546577453613
80	1000	10	3	Borda	1	True	(48,)	40105.500000000015	39947.49999999998	2	0.030809402465820312	0.012912511825561523	0.49477338790893555	1.0391693115234375
40	1000	5	6	Plurality	1	True	(15,)	26.34999999998643	26.34999999999965	0	0.015709400177001953	0.006818532943725586	0.09137535095214844	0.16219758987426758
40	1000	5	6	2-approval	1	True	(15,)	52.46923076921583	52.46923076923009	0	0.015576362609863281	0.006933450698852539	0.1022498607635498	0.17624974250793457
40	1000	5	6	Borda	1	True	(2,)	19832.833333333318	19754.833333333314	2	0.015655040740966797	0.007023334503173828	0.13665032386779785	0.3042638301849365
20	1000	5	9	Plurality	1	True	(8,)	52.04999999999056	52.049999999999415	0	0.007965564727783203	0.0038771629333496094	0.028783559799194336	0.0632631778717041
20	1000	5	9	2-approval	1	True	(8,)	103.10000000001281	103.09999999999886	0	0.00794219970703125	0.004006862640380859	0.03511309623718262	0.07204127311706543
20	1000	5	9	Borda	1	True	(10,)	9594.5	9594.5	0	0.007962226867675781	0.004099845886230469	0.05249667167663574	0.11317753791809082
80	1000	5	0	Plurality	1	True	(41,)	13.025000000015595	13.024999999999798	0	0.030150413513183594	0.012575864791870117	0.31607556343078613	0.4617769718170166
80	1000	5	0	2-approval	1	True	(41,)	26.02151898732695	26.02151898734137	0	0.0298159122467041	0.012767314910888672	0.3360404968261719	0.4839191436767578
80	1000	5	0	Borda	1	True	(18,)	39810.5	39810.5	0	0.030220746994018555	0.012874126434326172	0.4060351848602295	0.9398002624511719
80	1000	5	9	Plurality	1	True	(44,)	12.9625000000167	12.962499999999817	0	0.029974937438964844	0.012806177139282227	0.31279683113098145	0.4577205181121826
80	1000	5	9	2-approval	1	True	(44,)	25.896518987326374	25.896518987341402	0	0.030000686645507812	0.012659311294555664	0.3382883071899414	0.4883415699005127
80	1000	5	9	Borda	1	True	(35,)	39864.5	39864.5	0	0.030379056930541992	0.012809514999389648	0.40497589111328125	0.9369103908538818
20	1000	5	2	Plurality	1	True	(0, 2)	52.09999999999117	52.09999999999117	0	0.007910966873168945	0.003873109817504883	0.02858734130859375	0.06202960014343262
20	1000	5	2	2-approval	1	True	(2,)	104.35789473685435	104.35789473684086	0	0.00790715217590332	0.003932476043701172	0.03439760208129883	0.07053351402282715
20	1000	5	2	Borda	1	True	(2,)	9747.5	9664.5	5	0.007935285568237305	0.003974437713623047	0.051674604415893555	0.1113123893737793
80	1000	20	3	Plurality	1	True	(1,)	14.700000000006991	14.699999999999791	0	0.03155255317687988	0.012631416320800781	0.25673413276672363	0.38843703269958496
80	1000	20	3	2-approval	1	True	(1,)	28.918987341761525	28.918987341771768	0	0.031702518463134766	0.012664556503295898	0.2736961841583252	0.4089813232421875
80	1000	20	3	Borda	1	True	(61,)	40499.49999999998	40300.50000000001	3	0.031517982482910156	0.012923479080200195	0.6692070960998535	1.20334792137146
80	1000	5	2	Plurality	1	True	(75,)	12.975000000015843	12.974999999999813	0	0.03027200698852539	0.012573480606079102	0.3190419673919678	0.4645967483520508
80	1000	5	2	2-approval	1	True	(75,)	25.918354430364843	25.918354430379377	0	0.030275583267211914	0.012753486633300781	0.33656883239746094	0.4864950180053711
80	1000	5	2	Borda	1	True	(48,)	39824.0	39824.0	0	0.030349254608154297	0.012886524200439453	0.4020094871520996	0.9315001964569092
10	1000	5	8	Plurality	1	True	(4,)	110.60000000000724	108.59999999999918	2	0.004336118698120117	0.0024640560150146484	0.009074926376342773	0.02626824378967285
10	1000	5	8	2-approval	1	True	(4,)	214.53333333333853	212.5333333333316	2	0.0043239593505859375	0.0024614334106445312	0.012072563171386719	0.03042292594909668
10	1000	5	8	Borda	1	True	(6,)	4638.333333333345	4610.333333333332	4	0.004297018051147461	0.0026226043701171875	0.02213263511657715	0.048506975173950195
40	1000	5	1	Plurality	1	True	(32,)	26.799999999986646	26.799999999999653	0	0.015403985977172852	0.006907224655151367	0.09113788604736328	0.1615300178527832
40	1000	5	1	2-approval	1	True	(32,)	54.293589743575026	53.293589743589074	1	0.015432357788085938	0.007025957107543945	0.10305047035217285	0.17690610885620117
40	1000	5	1	Borda	1	True	(29,)	19772.333333333347	19733.33333333332	1	0.015441417694091797	0.00704646110534668	0.13454294204711914	0.29999566078186035
20	1000	5	4	Plurality	1	True	(14, 16)	53.24999999999038	53.24999999999038	0	0.008025169372558594	0.003957271575927734	0.029070138931274414	0.06330704689025879
20	1000	5	4	2-approval	1	True	(16,)	105.39473684211865	105.39473684210417	0	0.007961511611938477	0.003999948501586914	0.034410953521728516	0.07077670097351074
20	1000	5	4	Borda	1	True	(8,)	9673.0	9635.0	2	0.008012533187866211	0.004178047180175781	0.052603721618652344	0.1127767562866211
80	1000	20	5	Plurality	1	True	(62,)	14.46250000000715	14.462499999999824	0	0.031737565994262695	0.01265096664428711	0.2571380138397217	0.39123034477233887
80	1000	20	5	2-approval	1	True	(53,)	28.333860759483052	28.333860759493298	0	0.03146195411682129	0.012678146362304688	0.2734036445617676	0.4082612991333008
80	1000	20	5	Borda	1	True	(62,)	40359.71428571414	40220.7142857143	2	0.03159379959106445	0.012978792190551758	0.6679244041442871	1.2033460140228271
10	1000	5	1	Plurality	1	True	(6,)	114.70000000000773	110.69999999999926	4	0.004427194595336914	0.002367734909057617	0.008884906768798828	0.026084184646606445
10	1000	5	1	2-approval	1	True	(6,)	219.62222222222908	215.6222222222207	4	0.004397153854370117	0.0024666786193847656	0.012117624282836914	0.030741214752197266
10	1000	5	1	Borda	1	True	(7,)	4604.500000000006	4604.5	0	0.004682064056396484	0.002591371536254883	0.022212505340576172	0.04923439025878906
80	1000	5	4	Plurality	1	True	(77,)	13.06250000001549	13.062499999999803	0	0.030546188354492188	0.012664079666137695	0.31590938568115234	0.4601864814758301
80	1000	5	4	2-approval	1	True	(77,)	26.087025316440965	26.087025316455303	0	0.030093908309936523	0.012686491012573242	0.3347785472869873	0.4812955856323242
80	1000	5	4	Borda	1	True	(35,)	39929.0	39854.0	1	0.03015279769897461	0.01287221908569336	0.4069211483001709	0.9330341815948486
20	1000	5	6	Plurality	1	True	(19,)	52.8999999999901	52.8999999999994	0	0.007951021194458008	0.0038738250732421875	0.028743267059326172	0.0635373592376709
20	1000	5	6	2-approval	1	True	(19,)	104.58947368422358	104.58947368420932	0	0.007949352264404297	0.003936290740966797	0.03432273864746094	0.07077670097351074
20	1000	5	6	Borda	1	True	(8,)	9666.0	9628.0	2	0.0079498291015625	0.004056453704833984	0.05192852020263672	0.11186742782592773
80	1000	20	7	Plurality	1	True	(2,)	16.562500000008498	15.562499999999805	1	0.03165841102600098	0.012583255767822266	0.2543647289276123	0.38663506507873535
80	1000	20	7	2-approval	1	True	(2,)	32.49873417720375	30.498734177214814	2	0.03221416473388672	0.012661218643188477	0.2738792896270752	0.41093993186950684
80	1000	20	7	Borda	1	True	(47,)	40677.285714285616	40440.285714285696	3	0.03182864189147949	0.012917041778564453	0.6615917682647705	1.1896052360534668
10	1000	5	3	Plurality	1	True	(0,)	109.20000000000724	109.19999999999922	4	0.004342079162597656	0.0023756027221679688	0.008938789367675781	0.025776386260986328
10	1000	5	3	2-approval	1	True	(0,)	222.26666666667296	216.26666666666506	10	0.004405975341796875	0.0023729801177978516	0.01210331916809082	0.030703306198120117
10	1000	5	3	Borda	1	True	(0,)	4631.166666666665	4621.166666666667	2	0.004399776458740234	0.0024979114532470703	0.021460771560668945	0.04774665832519531
80	1000	5	6	Plurality	1	True	(23,)	12.96250000001568	12.962499999999814	0	0.030486106872558594	0.012591123580932617	0.31351685523986816	0.45840001106262207
80	1000	5	6	2-approval	1	True	(23,)	25.8870253164408	25.887025316455325	0	0.029893159866333008	0.012781381607055664	0.3351101875305176	0.48284387588500977
80	1000	5	6	Borda	1	True	(14,)	39902.0	39827.0	1	0.0305328369140625	0.012924671173095703	0.4060976505279541	0.9350755214691162
80	1000	10	5	Plurality	1	True	(53, 74)	13.36250000001343	13.36250000001343	0	0.030489444732666016	0.012622356414794922	0.2957038879394531	0.4342532157897949
80	1000	10	5	2-approval	1	True	(53,)	26.625316455682693	26.625316455695852	0	0.030887603759765625	0.01276397705078125	0.31710147857666016	0.46089982986450195
80	1000	10	5	Borda	1	True	(28,)	39849.77272727267	39849.77272727272	0	0.03053593635559082	0.012991905212402344	0.4959254264831543	1.0289101600646973
40	1000	5	8	Plurality	1	True	(21,)	26.749999999986898	26.74999999999963	0	0.015554666519165039	0.006941556930541992	0.09141945838928223	0.16342759132385254
40	1000	5	8	2-approval	1	True	(21,)	54.28333333331874	53.283333333332585	1	0.0157470703125	0.007013559341430664	0.10287022590637207	0.17754483222961426
40	1000	5	8	Borda	1	True	(21,)	19806.500000000015	19767.500000000007	1	0.015504837036132812	0.007062196731567383	0.13602185249328613	0.30324316024780273
80	1000	20	0	Plurality	1	True	(42,)	14.02500000000709	14.024999999999824	0	0.031991004943847656	0.012605667114257812	0.2558317184448242	0.38977527618408203
80	1000	20	0	2-approval	1	True	(40,)	27.899999999989006	27.899999999999654	0	0.03186297416687012	0.012683629989624023	0.2796616554260254	0.4174783229827881
80	1000	20	0	Borda	1	True	(78,)	40319.64285714287	40319.64285714287	0	0.03188157081604004	0.013060331344604492	0.6658740043640137	1.202554702758789
20	1000	5	8	Plurality	1	True	(13,)	54.39999999998987	53.3999999999993	1	0.007975339889526367	0.003975868225097656	0.029696941375732422	0.06469297409057617
20	1000	5	8	2-approval	1	True	(13,)	108.17368421053928	106.17368421052497	2	0.007969379425048828	0.003962516784667969	0.0343320369720459	0.07091903686523438
20	1000	5	8	Borda	1	True	(13,)	9721.0	9664.0	3	0.007976531982421875	0.004096031188964844	0.05175185203552246	0.11140823364257812
80	1000	20	9	Plurality	1	True	(16,)	16.587500000006816	15.587499999999824	1	0.03159618377685547	0.012655019760131836	0.25649261474609375	0.39110445976257324
80	1000	20	9	2-approval	1	True	(16,)	31.33322784809073	30.333227848100922	1	0.03179764747619629	0.012637138366699219	0.27321553230285645	0.4077310562133789
80	1000	20	9	Borda	1	True	(26,)	40427.64285714279	40427.64285714286	0	0.03186440467834473	0.012962102890014648	0.6658670902252197	1.1982440948486328
10	1000	5	5	Plurality	1	True	(1,)	110.10000000000728	110.09999999999914	4	0.0043714046478271484	0.0023899078369140625	0.008993387222290039	0.025977373123168945
10	1000	5	5	2-approval	1	True	(1,)	215.57777777778307	213.57777777777602	6	0.004301309585571289	0.0024728775024414062	0.012288093566894531	0.030709266662597656
10	1000	5	5	Borda	1	True	(5,)	4571.499999999998	4571.499999999996	0	0.004339456558227539	0.002508401870727539	0.02202773094177246	0.0480802059173584
80	1000	5	8	Plurality	1	True	(36,)	13.337500000016568	13.3374999999998	0	0.030023813247680664	0.012628793716430664	0.3188347816467285	0.46324872970581055
80	1000	5	8	2-approval	1	True	(36,)	26.61803797466832	26.61803797468314	0	0.030100584030151367	0.012793302536010742	0.34145593643188477	0.49016404151916504
80	1000	5	8	Borda	1	True	(36,)	39944.5	39865.5	1	0.029912948608398438	0.012888908386230469	0.40334129333496094	0.9320614337921143
80	1000	10	7	Plurality	1	True	(24,)	13.56250000001322	13.562499999999822	0	0.030633926391601562	0.012670755386352539	0.2957754135131836	0.434863805770874
80	1000	10	7	2-approval	1	True	(24,)	26.9825949366953	26.982594936708516	0	0.0310823917388916	0.012692928314208984	0.3165571689605713	0.4622220993041992
80	1000	10	7	Borda	1	True	(68,)	39963.90909090908	39963.90909090911	0	0.03130626678466797	0.012953758239746094	0.4940009117126465	1.0271024703979492
20	1000	5	1	Plurality	1	True	(6,)	52.749999999990024	52.74999999999943	0	0.00792074203491211	0.0038673877716064453	0.02884650230407715	0.06339073181152344
20	1000	5	1	2-approval	1	True	(6,)	104.81578947369707	104.81578947368308	0	0.008057832717895508	0.0040149688720703125	0.03534412384033203	0.07244515419006348
20	1000	5	1	Borda	1	True	(6, 7)	9650.5	9650.5	0	0.007964849472045898	0.004100322723388672	0.05191397666931152	0.11078286170959473
80	1000	20	2	Plurality	1	True	(76,)	14.362500000007465	14.36249999999982	0	0.03151369094848633	0.012703895568847656	0.25556397438049316	0.3883016109466553
80	1000	20	2	2-approval	1	True	(76,)	28.243987341761247	28.243987341771803	0	0.03142833709716797	0.012723445892333984	0.27376651763916016	0.40782618522644043
80	1000	20	2	Borda	1	True	(79,)	40894.071428571355	40537.07142857145	5	0.03157949447631836	0.012842416763305664	0.6651265621185303	1.1960058212280273
