m	n	phi	pmax	batch	rule	pruning	grouping	winners	t_total_sec
10	10000	0.5	0.5	6	2-approval	True	False	(0,)	161.55243062973022
10	10000	0.5	0.5	6	Borda	True	False	(0,)	415.55279421806335
10	10000	0.5	0.9	0	Plurality	True	False	(0,)	42.781126737594604
10	10000	0.5	0.9	0	2-approval	True	False	(0,)	61.30433487892151
10	10000	0.5	0.9	0	Borda	True	False	(0,)	142.61631321907043
10	10000	0.5	0.1	1	Plurality	True	False	(0,)	40.22035264968872
10	10000	0.5	0.1	1	2-approval	True	False	(0,)	69.35925102233887
10	10000	0.5	0.1	1	Borda	True	False	(0,)	126.51256561279297
10	10000	0.5	0.9	3	Plurality	True	False	(0,)	41.67240500450134
10	10000	0.5	0.9	3	2-approval	True	False	(0,)	60.13152837753296
10	10000	0.5	0.9	3	Borda	True	False	(0,)	138.51730680465698
10	10000	0.5	0.1	4	Plurality	True	False	(0,)	40.03181791305542
10	10000	0.5	0.1	4	2-approval	True	False	(0,)	69.40578174591064
10	10000	0.5	0.1	4	Borda	True	False	(0,)	128.07370281219482
10	10000	0.5	0.9	6	Plurality	True	False	(0,)	41.49830961227417
10	10000	0.5	0.9	6	2-approval	True	False	(0,)	58.221917152404785
10	10000	0.5	0.9	6	Borda	True	False	(0,)	139.43366527557373
10	10000	0.5	0.1	7	Plurality	True	False	(0,)	41.223865270614624
10	10000	0.5	0.1	7	2-approval	True	False	(0,)	70.23743009567261
10	10000	0.5	0.1	7	Borda	True	False	(0,)	131.307701587677
10	10000	0.5	0.9	9	Plurality	True	False	(0,)	42.142711877822876
10	10000	0.5	0.9	9	2-approval	True	False	(0,)	61.566848278045654
10	10000	0.5	0.9	9	Borda	True	False	(0,)	141.47176337242126
10	10000	0.5	0.5	2	Plurality	True	False	(0,)	103.98286175727844
10	10000	0.5	0.5	2	2-approval	True	False	(0,)	161.12930011749268
10	10000	0.5	0.5	2	Borda	True	False	(0,)	413.7591977119446
10	10000	0.5	0.5	5	Plurality	True	False	(0,)	104.47751307487488
10	10000	0.5	0.5	5	2-approval	True	False	(0,)	161.2586808204651
10	10000	0.5	0.5	5	Borda	True	False	(0,)	413.5844101905823
