m	n	phi	pmax	batch	rule	threads	grouping	winners	t_sec
10	1000000	0.5	0.1	1	Borda	45	True	(0,)	230.57344603538516
10	1000000	0.5	0.1	1	Borda	48	True	(0,)	223.846866607666
10	1000000	0.5	0.1	2	plurality	15	True	(0,)	359.22712326049805
10	1000000	0.5	0.1	2	plurality	20	True	(0,)	241.9271786212921
10	1000000	0.5	0.1	2	plurality	25	True	(0,)	201.71934819221497
10	1000000	0.5	0.1	2	plurality	30	True	(0,)	165.3469660282135
10	1000000	0.5	0.1	2	plurality	35	True	(0,)	150.0041470527649
10	1000000	0.5	0.1	2	plurality	40	True	(0,)	129.00027441978455
10	1000000	0.5	0.1	2	plurality	45	True	(0,)	118.98769617080688
10	1000000	0.5	0.1	2	plurality	48	True	(0,)	112.12179136276244
10	1000000	0.5	0.1	2	2-approval	15	True	(0,)	367.0019552707672
10	1000000	0.5	0.1	2	2-approval	20	True	(0,)	277.20706129074097
10	1000000	0.5	0.1	2	2-approval	25	True	(0,)	228.3910415172577
10	1000000	0.5	0.1	2	2-approval	30	True	(0,)	189.12065839767456
10	1000000	0.5	0.1	2	2-approval	35	True	(0,)	175.25184845924375
10	1000000	0.5	0.1	2	2-approval	40	True	(0,)	149.2279589176178
10	1000000	0.5	0.1	2	2-approval	45	True	(0,)	135.07061767578125
10	1000000	0.5	0.1	2	2-approval	48	True	(0,)	127.50673246383668
10	1000000	0.5	0.1	2	Borda	15	True	(0,)	640.7651708126068
10	1000000	0.5	0.1	2	Borda	20	True	(0,)	482.652396440506
10	1000000	0.5	0.1	2	Borda	25	True	(0,)	401.7710876464844
10	1000000	0.5	0.1	2	Borda	30	True	(0,)	330.3639831542969
10	1000000	0.5	0.1	2	Borda	35	True	(0,)	286.7137095928192
10	1000000	0.5	0.1	2	Borda	40	True	(0,)	254.6519479751587
10	1000000	0.5	0.1	2	Borda	45	True	(0,)	229.92865324020383
10	1000000	0.5	0.1	2	Borda	48	True	(0,)	218.27401328086853
10	1000000	0.5	0.1	3	plurality	15	True	(0,)	313.81549763679504
10	1000000	0.5	0.1	3	plurality	20	True	(0,)	243.41800093650815
10	1000000	0.5	0.1	3	plurality	25	True	(0,)	250.1306049823761
10	1000000	0.5	0.1	3	plurality	30	True	(0,)	166.03496479988098
10	1000000	0.5	0.1	3	plurality	35	True	(0,)	143.5556869506836
10	1000000	0.5	0.1	3	plurality	40	True	(0,)	127.8644630908966
10	1000000	0.5	0.1	3	plurality	45	True	(0,)	116.18910479545592
10	1000000	0.5	0.1	3	plurality	48	True	(0,)	111.56366014480592
10	1000000	0.5	0.1	3	2-approval	15	True	(0,)	362.8628532886505
10	1000000	0.5	0.1	3	2-approval	20	True	(0,)	274.90092515945435
10	1000000	0.5	0.1	3	2-approval	25	True	(0,)	227.72132635116577
10	1000000	0.5	0.1	3	2-approval	30	True	(0,)	187.0701620578766
10	1000000	0.5	0.1	3	2-approval	35	True	(0,)	164.84246158599854
10	1000000	0.5	0.1	3	2-approval	40	True	(0,)	149.76794052124023
10	1000000	0.5	0.1	3	2-approval	45	True	(0,)	133.0811231136322
10	1000000	0.5	0.1	3	2-approval	48	True	(0,)	127.31148362159728
10	1000000	0.5	0.1	3	Borda	15	True	(0,)	638.5434415340424
10	1000000	0.5	0.1	3	Borda	20	True	(0,)	485.7593274116516
10	1000000	0.5	0.1	3	Borda	25	True	(0,)	444.124739408493
10	1000000	0.5	0.1	3	Borda	30	True	(0,)	327.0812089443207
10	1000000	0.5	0.1	3	Borda	35	True	(0,)	289.7557861804962
10	1000000	0.5	0.1	3	Borda	40	True	(0,)	250.5891511440277
10	1000000	0.5	0.1	3	Borda	45	True	(0,)	227.34479069709775
10	1000000	0.5	0.1	3	Borda	48	True	(0,)	216.8672409057617
10	1000000	0.5	0.1	4	plurality	15	True	(0,)	316.2676565647125
10	1000000	0.5	0.1	4	plurality	20	True	(0,)	238.4720299243927
10	1000000	0.5	0.1	4	plurality	25	True	(0,)	197.86580657958984
10	1000000	0.5	0.1	4	plurality	30	True	(0,)	166.43996214866638
10	1000000	0.5	0.1	4	plurality	35	True	(0,)	144.53965282440186
10	1000000	0.5	0.1	4	plurality	40	True	(0,)	129.140460729599
10	1000000	0.5	0.1	4	plurality	45	True	(0,)	116.7941517829895
10	1000000	0.5	0.1	4	plurality	48	True	(0,)	113.05994153022766
10	1000000	0.5	0.1	4	2-approval	15	True	(0,)	361.8529324531555
10	1000000	0.5	0.1	4	2-approval	20	True	(0,)	273.3615605831146
10	1000000	0.5	0.1	4	2-approval	25	True	(0,)	225.36201643943787
10	1000000	0.5	0.1	4	2-approval	30	True	(0,)	190.57739448547363
10	1000000	0.5	0.1	4	2-approval	35	True	(0,)	162.84973001480105
10	1000000	0.5	0.1	4	2-approval	40	True	(0,)	146.10059928894043
10	1000000	0.5	0.1	4	2-approval	45	True	(0,)	133.6835858821869
10	1000000	0.5	0.1	4	2-approval	48	True	(0,)	127.57961821556091
10	1000000	0.5	0.1	4	Borda	30	True	(0,)	345.936785697937
10	1000000	0.5	0.1	4	Borda	35	True	(0,)	289.5070261955261
10	1000000	0.5	0.1	4	Borda	40	True	(0,)	257.57162499427795
10	1000000	0.5	0.1	4	Borda	45	True	(0,)	237.18816328048703
10	1000000	0.5	0.1	4	Borda	48	True	(0,)	218.3883833885193
10	1000000	0.5	0.1	5	plurality	30	True	(0,)	168.78755235671997
10	1000000	0.5	0.1	5	plurality	35	True	(0,)	145.44183611869812
10	1000000	0.5	0.1	5	plurality	40	True	(0,)	130.3715467453003
10	1000000	0.5	0.1	5	plurality	45	True	(0,)	118.74598479270936
10	1000000	0.5	0.1	5	plurality	48	True	(0,)	113.32186460494997
10	1000000	0.5	0.1	5	2-approval	30	True	(0,)	190.1959073543549
10	1000000	0.5	0.1	5	2-approval	35	True	(0,)	167.38208842277527
10	1000000	0.5	0.1	5	2-approval	40	True	(0,)	147.33871412277222
10	1000000	0.5	0.1	5	2-approval	45	True	(0,)	133.97255730628967
10	1000000	0.5	0.1	5	2-approval	48	True	(0,)	129.50496244430542
10	1000000	0.5	0.1	5	Borda	30	True	(0,)	340.0529820919037
10	1000000	0.5	0.1	5	Borda	35	True	(0,)	295.7076165676117
10	1000000	0.5	0.1	5	Borda	40	True	(0,)	252.87821054458615
10	1000000	0.5	0.1	5	Borda	45	True	(0,)	231.9242413043976
10	1000000	0.5	0.1	5	Borda	48	True	(0,)	220.72283005714417
10	1000000	0.5	0.1	6	plurality	30	True	(0,)	171.24888396263125
10	1000000	0.5	0.1	6	plurality	35	True	(0,)	152.12970542907715
10	1000000	0.5	0.1	6	plurality	40	True	(0,)	132.3641266822815
10	1000000	0.5	0.1	6	plurality	45	True	(0,)	121.96485018730164
10	1000000	0.5	0.1	6	plurality	48	True	(0,)	113.55336737632751
10	1000000	0.5	0.1	6	2-approval	30	True	(0,)	191.25776386260983
10	1000000	0.5	0.1	6	2-approval	35	True	(0,)	186.8687973022461
10	1000000	0.5	0.1	6	2-approval	40	True	(0,)	153.27547240257263
10	1000000	0.5	0.1	6	2-approval	45	True	(0,)	137.77576899528503
10	1000000	0.5	0.1	6	2-approval	48	True	(0,)	128.7486789226532
10	1000000	0.5	0.1	6	Borda	30	True	(0,)	347.19137382507324
10	1000000	0.5	0.1	6	Borda	35	True	(0,)	294.0669832229614
10	1000000	0.5	0.1	6	Borda	40	True	(0,)	261.82249212265015
10	1000000	0.5	0.1	6	Borda	45	True	(0,)	245.3999011516571
10	1000000	0.5	0.1	6	Borda	48	True	(0,)	226.7231423854828
10	1000000	0.5	0.1	7	plurality	30	True	(0,)	167.6693127155304
10	1000000	0.5	0.1	7	plurality	35	True	(0,)	143.9049310684204
10	1000000	0.5	0.1	7	plurality	40	True	(0,)	128.30680799484253
10	1000000	0.5	0.1	7	plurality	45	True	(0,)	117.59972429275513
10	1000000	0.5	0.1	7	plurality	48	True	(0,)	112.58006715774536
10	1000000	0.5	0.1	7	2-approval	30	True	(0,)	189.76546120643616
10	1000000	0.5	0.1	7	2-approval	35	True	(0,)	164.35006475448608
10	1000000	0.5	0.1	7	2-approval	40	True	(0,)	154.7671401500702
10	1000000	0.5	0.1	7	2-approval	45	True	(0,)	132.79817819595337
10	1000000	0.5	0.1	7	2-approval	48	True	(0,)	127.85319137573242
10	1000000	0.5	0.1	7	Borda	30	True	(0,)	337.43382239341736
10	1000000	0.5	0.1	7	Borda	35	True	(0,)	278.8085081577301
10	1000000	0.5	0.1	7	Borda	40	True	(0,)	260.6381335258484
10	1000000	0.5	0.1	7	Borda	45	True	(0,)	232.89580583572388
10	1000000	0.5	0.1	7	Borda	48	True	(0,)	218.94081830978396
10	1000000	0.5	0.1	8	plurality	30	True	(0,)	167.44265818595886
10	1000000	0.5	0.1	8	plurality	35	True	(0,)	141.49808597564697
10	1000000	0.5	0.1	8	plurality	40	True	(0,)	127.11192107200624
10	1000000	0.5	0.1	8	plurality	45	True	(0,)	119.0250654220581
10	1000000	0.5	0.1	8	plurality	48	True	(0,)	112.64866280555724
10	1000000	0.5	0.1	8	2-approval	30	True	(0,)	196.33367919921875
10	1000000	0.5	0.1	8	2-approval	35	True	(0,)	163.86462783813477
10	1000000	0.5	0.1	8	2-approval	40	True	(0,)	146.47844696044922
10	1000000	0.5	0.1	8	2-approval	45	True	(0,)	132.77537274360657
10	1000000	0.5	0.1	8	2-approval	48	True	(0,)	129.44124913215637
10	1000000	0.5	0.1	8	Borda	30	True	(0,)	331.23315048217773
10	1000000	0.5	0.1	8	Borda	35	True	(0,)	290.261335849762
10	1000000	0.5	0.1	8	Borda	40	True	(0,)	255.01440477371216
10	1000000	0.5	0.1	8	Borda	45	True	(0,)	233.0025336742401
10	1000000	0.5	0.1	8	Borda	48	True	(0,)	221.06882762908936
10	1000000	0.5	0.1	9	plurality	30	True	(0,)	169.93160605430603
10	1000000	0.5	0.1	9	plurality	35	True	(0,)	145.4812445640564
10	1000000	0.5	0.1	9	plurality	40	True	(0,)	131.10426831245422
10	1000000	0.5	0.1	9	plurality	45	True	(0,)	117.9903552532196
10	1000000	0.5	0.1	9	plurality	48	True	(0,)	114.32950091362
10	1000000	0.5	0.1	9	2-approval	30	True	(0,)	191.95748496055603
10	1000000	0.5	0.1	9	2-approval	35	True	(0,)	167.3554244041443
10	1000000	0.5	0.1	9	2-approval	40	True	(0,)	149.34228467941284
10	1000000	0.5	0.1	9	2-approval	45	True	(0,)	135.64761686325073
10	1000000	0.5	0.1	9	2-approval	48	True	(0,)	131.88597631454468
10	1000000	0.5	0.1	9	Borda	30	True	(0,)	331.7816083431244
10	1000000	0.5	0.1	9	Borda	35	True	(0,)	295.3959159851074
10	1000000	0.5	0.1	9	Borda	40	True	(0,)	266.4907734394073
10	1000000	0.5	0.1	9	Borda	45	True	(0,)	232.37335062026975
10	1000000	0.5	0.1	9	Borda	48	True	(0,)	219.93390417099
10	1000000	0.5	0.1	0	Plurality	15	True	(0,)	325.61090302467346
10	1000000	0.5	0.1	0	Plurality	20	True	(0,)	239.57398080825806
10	1000000	0.5	0.1	0	Plurality	25	True	(0,)	197.64109110832214
10	1000000	0.5	0.1	0	Plurality	30	True	(0,)	166.99390816688538
10	1000000	0.5	0.1	0	Plurality	35	True	(0,)	193.44012451171875
10	1000000	0.5	0.1	0	Plurality	40	True	(0,)	130.643798828125
10	1000000	0.5	0.1	0	Plurality	45	True	(0,)	118.86701154708862
10	1000000	0.5	0.1	0	Plurality	48	True	(0,)	114.32060170173645
10	1000000	0.5	0.1	1	Plurality	15	True	(0,)	312.45049929618835
10	1000000	0.5	0.1	1	Plurality	20	True	(0,)	238.11742544174194
10	1000000	0.5	0.1	1	Plurality	25	True	(0,)	196.66835689544678
10	1000000	0.5	0.1	1	Plurality	30	True	(0,)	165.2130401134491
10	1000000	0.5	0.1	1	Plurality	35	True	(0,)	146.7912838459015
10	1000000	0.5	0.1	1	Plurality	40	True	(0,)	129.2186496257782
10	1000000	0.5	0.1	1	Plurality	45	True	(0,)	125.94051027297974
10	1000000	0.5	0.1	1	Plurality	48	True	(0,)	112.66746187210083
10	1000000	0.5	0.1	2	Plurality	15	True	(0,)	313.11996626853943
10	1000000	0.5	0.1	2	Plurality	20	True	(0,)	238.73227500915527
10	1000000	0.5	0.1	2	Plurality	25	True	(0,)	195.95611000061035
10	1000000	0.5	0.1	2	Plurality	30	True	(0,)	166.56808948516846
10	1000000	0.5	0.1	2	Plurality	35	True	(0,)	146.79049634933472
10	1000000	0.5	0.1	2	Plurality	40	True	(0,)	130.37246227264404
10	1000000	0.5	0.1	2	Plurality	45	True	(0,)	119.3742265701294
10	1000000	0.5	0.1	2	Plurality	48	True	(0,)	113.89497828483582
10	1000000	0.5	0.1	3	Plurality	15	True	(0,)	312.23416662216187
10	1000000	0.5	0.1	3	Plurality	20	True	(0,)	245.61300945281982
10	1000000	0.5	0.1	3	Plurality	25	True	(0,)	194.95798802375793
10	1000000	0.5	0.1	3	Plurality	30	True	(0,)	165.93550658226013
10	1000000	0.5	0.1	3	Plurality	35	True	(0,)	145.17639303207397
10	1000000	0.5	0.1	3	Plurality	40	True	(0,)	129.34907007217407
10	1000000	0.5	0.1	3	Plurality	45	True	(0,)	117.98435258865356
10	1000000	0.5	0.1	3	Plurality	48	True	(0,)	113.15892004966736
10	1000000	0.5	0.1	4	Plurality	15	True	(0,)	332.35475420951843
10	1000000	0.5	0.1	4	Plurality	20	True	(0,)	238.19981169700623
10	1000000	0.5	0.1	4	Plurality	25	True	(0,)	194.95406007766724
10	1000000	0.5	0.1	4	Plurality	30	True	(0,)	168.72451663017273
10	1000000	0.5	0.1	4	Plurality	35	True	(0,)	144.67831802368164
10	1000000	0.5	0.1	4	Plurality	40	True	(0,)	130.6758053302765
10	1000000	0.5	0.1	4	Plurality	45	True	(0,)	119.32441473007202
10	1000000	0.5	0.1	4	Plurality	48	True	(0,)	122.01739978790283
10	1000000	0.5	0.1	4	Borda	15	True	(0,)	640.3989202976227
10	1000000	0.5	0.1	4	Borda	20	True	(0,)	483.99252104759216
10	1000000	0.5	0.1	4	Borda	25	True	(0,)	393.7522461414337
10	1000000	0.5	0.1	5	Plurality	15	True	(0,)	316.1402280330658
10	1000000	0.5	0.1	5	Plurality	20	True	(0,)	241.1124303340912
10	1000000	0.5	0.1	5	Plurality	25	True	(0,)	198.65383124351501
10	1000000	0.5	0.1	5	Plurality	30	True	(0,)	169.12671995162964
10	1000000	0.5	0.1	5	Plurality	35	True	(0,)	147.50106573104858
10	1000000	0.5	0.1	5	Plurality	40	True	(0,)	130.87765407562256
10	1000000	0.5	0.1	5	Plurality	45	True	(0,)	118.32439875602722
10	1000000	0.5	0.1	5	Plurality	48	True	(0,)	113.9598343372345
10	1000000	0.5	0.1	5	2-approval	15	True	(0,)	361.8297200202942
10	1000000	0.5	0.1	5	2-approval	20	True	(0,)	306.0382790565491
10	1000000	0.5	0.1	5	2-approval	25	True	(0,)	225.6899242401123
10	1000000	0.5	0.1	5	Borda	15	True	(0,)	638.4970805644989
10	1000000	0.5	0.1	5	Borda	20	True	(0,)	502.80996775627136
10	1000000	0.5	0.1	5	Borda	25	True	(0,)	407.47601985931396
10	1000000	0.5	0.1	6	Plurality	15	True	(0,)	332.0639498233795
10	1000000	0.5	0.1	6	Plurality	20	True	(0,)	250.12415862083435
10	1000000	0.5	0.1	6	Plurality	25	True	(0,)	197.74814915657043
10	1000000	0.5	0.1	6	Plurality	30	True	(0,)	167.7616150379181
10	1000000	0.5	0.1	6	Plurality	35	True	(0,)	147.03555369377136
10	1000000	0.5	0.1	6	Plurality	40	True	(0,)	132.83324766159058
10	1000000	0.5	0.1	6	Plurality	45	True	(0,)	121.44608473777771
10	1000000	0.5	0.1	6	Plurality	48	True	(0,)	113.01289057731628
10	1000000	0.5	0.1	6	2-approval	15	True	(0,)	363.21966791152954
10	1000000	0.5	0.1	6	2-approval	20	True	(0,)	275.86100482940674
10	1000000	0.5	0.1	6	2-approval	25	True	(0,)	223.910573720932
10	1000000	0.5	0.1	6	Borda	15	True	(0,)	643.0337920188904
10	1000000	0.5	0.1	6	Borda	20	True	(0,)	499.96443033218384
10	1000000	0.5	0.1	6	Borda	25	True	(0,)	411.478182554245
10	1000000	0.5	0.1	7	Plurality	15	True	(0,)	320.65486454963684
10	1000000	0.5	0.1	7	Plurality	20	True	(0,)	237.79820680618286
10	1000000	0.5	0.1	7	Plurality	25	True	(0,)	194.6934711933136
10	1000000	0.5	0.1	7	Plurality	30	True	(0,)	168.78379583358765
10	1000000	0.5	0.1	7	Plurality	35	True	(0,)	143.9675154685974
10	1000000	0.5	0.1	7	Plurality	40	True	(0,)	129.3060817718506
10	1000000	0.5	0.1	7	Plurality	45	True	(0,)	116.95945978164673
10	1000000	0.5	0.1	7	Plurality	48	True	(0,)	113.1091136932373
10	1000000	0.5	0.1	7	2-approval	15	True	(0,)	357.10671162605286
10	1000000	0.5	0.1	7	2-approval	20	True	(0,)	273.2753264904022
10	1000000	0.5	0.1	7	2-approval	25	True	(0,)	221.3494155406952
10	1000000	0.5	0.1	7	Borda	15	True	(0,)	633.9466214179993
10	1000000	0.5	0.1	7	Borda	20	True	(0,)	483.4373073577881
10	1000000	0.5	0.1	7	Borda	25	True	(0,)	401.6309115886688
10	1000000	0.5	0.1	8	Plurality	15	True	(0,)	322.35847425460815
10	1000000	0.5	0.1	8	Plurality	20	True	(0,)	239.63623976707458
10	1000000	0.5	0.1	8	Plurality	25	True	(0,)	196.0316503047943
10	1000000	0.5	0.1	8	Plurality	30	True	(0,)	167.22297501564026
10	1000000	0.5	0.1	8	Plurality	35	True	(0,)	144.61580395698547
10	1000000	0.5	0.1	8	Plurality	40	True	(0,)	129.45699620246887
10	1000000	0.5	0.1	8	Plurality	45	True	(0,)	118.79615592956543
10	1000000	0.5	0.1	8	Plurality	48	True	(0,)	112.72646737098694
10	1000000	0.5	0.1	8	2-approval	15	True	(0,)	358.9322214126587
10	1000000	0.5	0.1	8	2-approval	20	True	(0,)	277.6154155731201
10	1000000	0.5	0.1	8	2-approval	25	True	(0,)	221.8937907218933
10	1000000	0.5	0.1	8	Borda	15	True	(0,)	654.1707792282104
10	1000000	0.5	0.1	8	Borda	20	True	(0,)	494.56968545913696
10	1000000	0.5	0.1	8	Borda	25	True	(0,)	394.1260666847229
10	1000000	0.5	0.1	9	Plurality	15	True	(0,)	315.1359078884125
10	1000000	0.5	0.1	9	Plurality	20	True	(0,)	255.37581419944763
10	1000000	0.5	0.1	9	Plurality	25	True	(0,)	197.2387716770172
10	1000000	0.5	0.1	9	Plurality	30	True	(0,)	167.06462287902832
10	1000000	0.5	0.1	9	Plurality	35	True	(0,)	146.03004264831543
10	1000000	0.5	0.1	9	Plurality	40	True	(0,)	131.7891068458557
10	1000000	0.5	0.1	9	Plurality	45	True	(0,)	117.76123476028442
10	1000000	0.5	0.1	9	Plurality	48	True	(0,)	113.50961899757385
10	1000000	0.5	0.1	9	2-approval	15	True	(0,)	359.04879426956177
10	1000000	0.5	0.1	9	2-approval	20	True	(0,)	275.8034393787384
10	1000000	0.5	0.1	9	2-approval	25	True	(0,)	223.982497215271
10	1000000	0.5	0.1	9	Borda	15	True	(0,)	662.2310245037079
10	1000000	0.5	0.1	9	Borda	20	True	(0,)	502.27891850471497
10	1000000	0.5	0.1	9	Borda	25	True	(0,)	421.6260333061218
