m	n	num_buckets	batch	rule	winners	winner_score	t_baseline_sec
20	1000	5	2	Plurality	(10,)	60.763888888889014	0.05916237831115723
20	1000	5	2	2-approval	(10,)	121.07460317460344	0.06178116798400879
20	1000	5	2	Borda	(10,)	9895.0	0.08228826522827148
80	1000	20	3	Plurality	(70,)	17.799206349206344	0.40032291412353516
80	1000	20	3	2-approval	(70,)	33.57460317460316	0.4031500816345215
80	1000	20	3	Borda	(66,)	41812.5	0.7935595512390137
80	1000	5	2	Plurality	(9,)	14.919801906974115	0.364208459854126
80	1000	5	2	2-approval	(9,)	29.83960381394823	0.37016725540161133
80	1000	5	2	Borda	(50,)	41481.5	0.7571160793304443
10	1000	5	8	Plurality	(5,)	113.91666666666656	0.02699565887451172
10	1000	5	8	2-approval	(5,)	217.93333333333325	0.02820444107055664
10	1000	5	8	Borda	(7,)	4591.0	0.03313899040222168
10	10000	5	9	Plurality	(0,)	1023.7333333333431	0.2712123394012451
10	10000	5	9	2-approval	(2,)	2034.9666666666833	0.276775598526001
10	10000	5	9	Borda	(0,)	45278.0	0.32836031913757324
10	100	5	2	Plurality	(1,)	13.283333333333335	0.002780914306640625
10	100	5	2	2-approval	(1,)	24.816666666666674	0.002865314483642578
10	100	5	2	Borda	(1,)	493.5	0.003301858901977539
40	1000	5	1	Plurality	(32,)	28.273298923298913	0.13742995262145996
40	1000	5	1	2-approval	(32,)	56.54659784659783	0.14006996154785156
40	1000	5	1	Borda	(32,)	20589.5	0.23514127731323242
20	1000	5	4	Plurality	(18,)	55.86789321789329	0.05858659744262695
20	1000	5	4	2-approval	(18,)	111.66435786435801	0.06066441535949707
20	1000	5	4	Borda	(7,)	9735.0	0.08163166046142578
80	1000	20	5	Plurality	(41,)	17.472619047619045	0.3952815532684326
80	1000	20	5	2-approval	(41,)	33.56190476190475	0.4077491760253906
80	1000	20	5	Borda	(58,)	41091.5	0.7973740100860596
10	1000	5	1	Plurality	(7,)	107.86666666666657	0.028354883193969727
10	1000	5	1	2-approval	(7,)	218.38333333333327	0.028037548065185547
10	1000	5	1	Borda	(7,)	4658.0	0.03259086608886719
10	10000	5	2	Plurality	(4,)	1019.6000000000099	0.2725672721862793
10	10000	5	2	2-approval	(3,)	2049.833333333346	0.27748775482177734
10	10000	5	2	Borda	(3,)	45457.0	0.32338809967041016
80	1000	5	4	Plurality	(32,)	14.193410659949203	0.3658292293548584
80	1000	5	4	2-approval	(32,)	28.386821319898406	0.37055110931396484
80	1000	5	4	Borda	(32,)	41186.5	0.7575545310974121
10	100	5	4	Plurality	(2,)	15.333333333333336	0.002809762954711914
10	100	5	4	2-approval	(2,)	31.0	0.002853870391845703
10	100	5	4	Borda	(2,)	493.5	0.003309011459350586
20	1000	5	6	Plurality	(15,)	56.68888888888896	0.059433937072753906
20	1000	5	6	2-approval	(13,)	113.19682539682553	0.060590505599975586
20	1000	5	6	Borda	(13,)	9887.5	0.0843653678894043
80	1000	20	7	Plurality	(74,)	17.371428571428563	0.3963963985443115
80	1000	20	7	2-approval	(74,)	33.71904761904761	0.4033675193786621
80	1000	20	7	Borda	(8,)	41316.5	0.7980844974517822
10	1000	5	3	Plurality	(3,)	115.1499999999998	0.02736663818359375
10	1000	5	3	2-approval	(3,)	221.36666666666633	0.028264999389648438
10	1000	5	3	Borda	(3,)	4665.5	0.032930850982666016
10	10000	5	4	Plurality	(0,)	1027.9833333333431	0.2718505859375
10	10000	5	4	2-approval	(8,)	2054.5666666666766	0.2773737907409668
10	10000	5	4	Borda	(8,)	45723.5	0.32403135299682617
80	1000	5	6	Plurality	(8,)	14.03985731230076	0.3654141426086426
80	1000	5	6	2-approval	(8,)	28.07971462460152	0.3659529685974121
80	1000	5	6	Borda	(48,)	41105.5	0.7557482719421387
10	100	5	6	Plurality	(4,)	13.666666666666668	0.0027909278869628906
10	100	5	6	2-approval	(4,)	26.28333333333333	0.00286865234375
10	100	5	6	Borda	(4,)	510.0	0.0033278465270996094
80	1000	10	5	Plurality	(44,)	15.341790154290148	0.3722727298736572
80	1000	10	5	2-approval	(44,)	30.683580308580297	0.37093186378479004
80	1000	10	5	Borda	(77,)	41533.0	0.770993709564209
40	1000	5	8	Plurality	(8,)	28.090995115995085	0.13897919654846191
40	1000	5	8	2-approval	(8,)	56.18199023199017	0.14191508293151855
40	1000	5	8	Borda	(14,)	20235.5	0.2326338291168213
80	1000	20	0	Plurality	(61,)	19.250396825396827	0.39862775802612305
80	1000	20	0	2-approval	(61,)	38.36746031746031	0.4032578468322754
80	1000	20	0	Borda	(43,)	41130.5	0.7899727821350098
20	1000	5	8	Plurality	(4,)	59.80714285714294	0.0607457160949707
20	1000	5	8	2-approval	(4,)	115.88333333333351	0.060935020446777344
20	1000	5	8	Borda	(18,)	9914.0	0.08106088638305664
80	1000	20	9	Plurality	(24,)	17.387301587301582	0.3963897228240967
80	1000	20	9	2-approval	(64,)	33.50238095238095	0.4019756317138672
80	1000	20	9	Borda	(2,)	41295.0	0.7935352325439453
10	1000	5	5	Plurality	(1,)	118.68333333333331	0.026969432830810547
10	1000	5	5	2-approval	(1,)	219.14999999999998	0.02808403968811035
10	1000	5	5	Borda	(3,)	4600.5	0.032598257064819336
10	10000	5	6	Plurality	(8,)	1027.583333333343	0.26978135108947754
10	10000	5	6	2-approval	(8,)	2047.0666666666793	0.275083065032959
10	10000	5	6	Borda	(4,)	45284.0	0.32394838333129883
80	1000	5	8	Plurality	(0,)	13.725246394933071	0.3667027950286865
80	1000	5	8	2-approval	(0,)	27.450492789866143	0.3701927661895752
80	1000	5	8	Borda	(45,)	41261.5	0.7587521076202393
10	100	5	8	Plurality	(9,)	15.500000000000002	0.002828359603881836
10	100	5	8	2-approval	(9,)	28.033333333333335	0.0028285980224609375
10	100	5	8	Borda	(9,)	511.0	0.0033006668090820312
80	1000	10	7	Plurality	(25,)	15.708212620712606	0.36710691452026367
80	1000	10	7	2-approval	(25,)	31.416425241425213	0.3776991367340088
80	1000	10	7	Borda	(25,)	41789.0	0.7631711959838867
20	1000	5	1	Plurality	(9,)	55.61868686868694	0.0596165657043457
20	1000	5	1	2-approval	(9,)	110.8873737373739	0.0634605884552002
20	1000	5	1	Borda	(9,)	9850.0	0.08276724815368652
80	1000	20	2	Plurality	(6,)	17.34329004329004	0.40061068534851074
80	1000	20	2	2-approval	(6,)	32.886580086580075	0.4043619632720947
80	1000	20	2	Borda	(10,)	40965.5	0.7921481132507324
80	1000	5	1	Plurality	(52,)	13.975101687957704	0.366046667098999
80	1000	5	1	2-approval	(52,)	27.950203375915407	0.36854052543640137
80	1000	5	1	Borda	(25,)	40856.5	0.7578604221343994
10	1000	5	7	Plurality	(1,)	118.11666666666649	0.027452707290649414
10	1000	5	7	2-approval	(1,)	236.49999999999986	0.0283200740814209
10	1000	5	7	Borda	(2,)	4703.0	0.032928466796875
10	10000	5	8	Plurality	(0,)	1044.3000000000088	0.27185559272766113
10	10000	5	8	2-approval	(0,)	2078.533333333348	0.27432894706726074
10	10000	5	8	Borda	(0,)	45698.0	0.32566046714782715
10	100	5	1	Plurality	(3,)	16.583333333333332	0.002756834030151367
10	100	5	1	2-approval	(2,)	26.28333333333333	0.0027725696563720703
10	100	5	1	Borda	(3,)	497.0	0.003281831741333008
80	1000	10	0	Plurality	(15,)	14.94049365667011	0.3745448589324951
80	1000	10	0	2-approval	(15,)	29.88098731334022	0.3737776279449463
80	1000	10	0	Borda	(36,)	41350.0	0.7637217044830322
80	1000	10	9	Plurality	(77,)	16.05157758907758	0.36727356910705566
80	1000	10	9	2-approval	(77,)	32.10315517815516	0.3763461112976074
80	1000	10	9	Borda	(41,)	40912.0	0.7664330005645752
40	1000	5	3	Plurality	(28,)	28.684809634809607	0.13868355751037598
40	1000	5	3	2-approval	(28,)	57.369619269619214	0.1414167881011963
40	1000	5	3	Borda	(28,)	20208.0	0.23558855056762695
20	1000	5	3	Plurality	(14,)	53.64642857142867	0.05825400352478027
20	1000	5	3	2-approval	(14,)	108.34285714285735	0.06091189384460449
20	1000	5	3	Borda	(13,)	9718.5	0.08124279975891113
80	1000	20	4	Plurality	(37,)	19.66706349206349	0.4000275135040283
80	1000	20	4	2-approval	(37,)	37.584126984126975	0.4031248092651367
80	1000	20	4	Borda	(69,)	41218.0	0.7930424213409424
10	1000	5	0	Plurality	(5,)	112.04999999999991	0.027553558349609375
10	1000	5	0	2-approval	(3,)	216.19999999999985	0.028135299682617188
10	1000	5	0	Borda	(5,)	4645.5	0.033917903900146484
10	10000	5	1	Plurality	(7,)	1073.7666666666737	0.26874637603759766
10	10000	5	1	2-approval	(7,)	2097.916666666678	0.27597951889038086
10	10000	5	1	Borda	(7,)	45749.5	0.3264644145965576
80	1000	5	3	Plurality	(45,)	14.48996329245452	0.36173009872436523
80	1000	5	3	2-approval	(45,)	28.97992658490904	0.3686697483062744
80	1000	5	3	Borda	(0,)	41138.5	0.7539825439453125
10	1000	5	9	Plurality	(7,)	109.81666666666652	0.027322053909301758
10	1000	5	9	2-approval	(6,)	214.19999999999996	0.027632713317871094
10	1000	5	9	Borda	(6,)	4606.5	0.03309750556945801
