m	n	phi	pmax	batch	rule	pruning	grouping	winners	winner_score	t_baseline_sec
10	100	0.5	0.1	9	Plurality	False	False	(1,)	15.179999999999986	0.6513280868530273
10	100	0.5	0.1	9	2-approval	False	False	(1,)	28.67703703703701	0.5720930099487305
10	100	0.5	0.1	9	Borda	False	False	(1,)	525.8074603174601	0.9367105960845947
10	100000	0.5	0.1	6	Plurality	False	False	(0,)	14023.065351152058	762.8704142570496
10	100000	0.5	0.1	6	2-approval	False	False	(0,)	26935.203375670906	849.8360168933868
10	100000	0.5	0.1	6	Borda	False	False	(0,)	515569.22525043983	1388.1950662136078
10	100000	0.5	0.1	9	Plurality	False	False	(0,)	14000.877387942617	755.8290059566498
10	100000	0.5	0.1	9	2-approval	False	False	(0,)	26904.54634693666	856.312662601471
10	100000	0.5	0.1	9	Borda	False	False	(0,)	515415.7425571439	1378.0357654094696
10	1000	0.5	0.1	1	Plurality	False	False	(0,)	139.7327150174157	7.926059722900391
10	1000	0.5	0.1	1	2-approval	False	False	(0,)	267.99028816170204	8.891906976699829
10	1000	0.5	0.1	1	Borda	False	False	(0,)	5139.545853797218	14.263438940048218
10	1000	0.5	0.1	7	Plurality	False	False	(0,)	142.97950471389498	7.9435484409332275
10	1000	0.5	0.1	7	2-approval	False	False	(0,)	274.15882519320655	8.99863576889038
10	1000	0.5	0.1	7	Borda	False	False	(0,)	5192.224103528206	14.736262083053589
10	1000	0.5	0.1	4	Plurality	False	False	(0,)	137.2857423450178	7.272268533706665
10	1000	0.5	0.1	4	2-approval	False	False	(0,)	264.70856583218256	8.135082483291626
10	1000	0.5	0.1	4	Borda	False	False	(0,)	5124.950135352525	13.145843029022217
10	10000	0.5	0.1	5	Plurality	False	False	(0,)	1404.877622748202	77.06843543052673
10	10000	0.5	0.1	5	2-approval	False	False	(0,)	2698.49854417692	86.20736598968506
10	10000	0.5	0.1	5	Borda	False	False	(0,)	51628.44720194064	139.4435384273529
10	100	0.5	0.1	5	Plurality	False	False	(0,)	15.236176470588218	0.7026717662811279
10	100	0.5	0.1	5	2-approval	False	False	(0,)	28.78907407407404	0.6329681873321533
10	100	0.5	0.1	5	Borda	False	False	(0,)	533.6404283380018	1.0231122970581055
10	10000	0.5	0.1	2	Plurality	False	False	(0,)	1411.8437357161258	77.74434971809387
10	10000	0.5	0.1	2	2-approval	False	False	(0,)	2709.2160543392197	86.35952496528625
10	10000	0.5	0.1	2	Borda	False	False	(0,)	51717.34966134175	141.34590244293213
10	100	0.5	0.1	2	Plurality	False	False	(0,)	14.652371794871783	0.7209568023681641
10	100	0.5	0.1	2	2-approval	False	False	(0,)	27.674462759462738	0.6874561309814453
10	100	0.5	0.1	2	Borda	False	False	(0,)	519.3262912087913	1.249389410018921
10	100	0.5	0.1	8	Plurality	False	False	(1,)	14.595373500878193	0.8738090991973877
10	100	0.5	0.1	8	2-approval	False	False	(1,)	28.065272780064575	0.832172155380249
10	100	0.5	0.1	8	Borda	False	False	(1,)	528.4362843353942	1.5539076328277588
10	10000	0.5	0.1	8	Plurality	False	False	(0,)	1400.8855128131104	75.03427076339722
10	10000	0.5	0.1	8	2-approval	False	False	(0,)	2692.0379558947793	83.3816545009613
10	10000	0.5	0.1	8	Borda	False	False	(0,)	51570.1390644701	137.4022970199585
10	100000	0.5	0.1	2	Plurality	False	False	(0,)	14005.583624577082	760.9403657913208
10	100000	0.5	0.1	2	2-approval	False	False	(0,)	26910.585805322455	851.9741880893707
10	100000	0.5	0.1	2	Borda	False	False	(0,)	515347.59665567835	1363.8160135746002
10	100000	0.5	0.1	8	Plurality	False	False	(0,)	14010.249548171583	756.6049711704254
10	100000	0.5	0.1	8	2-approval	False	False	(0,)	26918.075445116574	851.5182600021362
10	100000	0.5	0.1	8	Borda	False	False	(0,)	515445.53456799436	1376.2943315505981
10	100000	0.5	0.1	5	Plurality	False	False	(0,)	14035.19688928663	751.4117941856384
10	100000	0.5	0.1	5	2-approval	False	False	(0,)	26949.8812383386	837.9738528728485
10	100000	0.5	0.1	5	Borda	False	False	(0,)	515606.9116271999	1349.2468013763428
10	1000	0.5	0.1	0	Plurality	False	False	(0,)	145.77895305251434	7.088446140289307
10	1000	0.5	0.1	0	2-approval	False	False	(0,)	278.58612373042774	7.888037204742432
10	1000	0.5	0.1	0	Borda	False	False	(0,)	5230.329954050895	12.21124792098999
10	1000	0.5	0.1	3	Plurality	False	False	(0,)	138.14195850708714	7.394137859344482
10	1000	0.5	0.1	3	2-approval	False	False	(0,)	267.35847264325906	8.236050844192505
10	1000	0.5	0.1	3	Borda	False	False	(0,)	5165.267522886255	13.687928676605225
10	1000	0.5	0.1	9	Plurality	False	False	(0,)	141.42375690170962	7.725509881973267
10	1000	0.5	0.1	9	2-approval	False	False	(0,)	271.3072910771839	8.615213871002197
10	1000	0.5	0.1	9	Borda	False	False	(0,)	5174.0713929226695	13.890215873718262
10	1000	0.5	0.1	6	Plurality	False	False	(0,)	140.5885131749629	6.857767105102539
10	1000	0.5	0.1	6	2-approval	False	False	(0,)	269.8840296149742	7.564528465270996
10	1000	0.5	0.1	6	Borda	False	False	(0,)	5149.135001700488	11.996511459350586
10	10000	0.5	0.1	1	Plurality	False	False	(0,)	1402.0156880145014	75.11855936050415
10	10000	0.5	0.1	1	2-approval	False	False	(0,)	2691.719747599724	82.73827028274536
10	10000	0.5	0.1	1	Borda	False	False	(0,)	51539.737644342356	134.24071383476257
10	100	0.5	0.1	1	Plurality	False	False	(0,)	14.883333333333319	0.6523082256317139
10	100	0.5	0.1	1	2-approval	False	False	(0,)	28.514074074074045	0.6016104221343994
10	100	0.5	0.1	1	Borda	False	False	(0,)	531.8002777777775	1.0936322212219238
10	100	0.5	0.1	7	Plurality	False	False	(0,)	13.603414996288029	0.7940096855163574
10	100	0.5	0.1	7	2-approval	False	False	(0,)	26.134522282963232	0.7352244853973389
10	100	0.5	0.1	7	Borda	False	False	(0,)	506.9777170166506	1.3072748184204102
10	100000	0.5	0.1	1	Plurality	False	False	(0,)	14061.864513669385	765.8764462471008
10	100000	0.5	0.1	1	2-approval	False	False	(0,)	27006.716384451953	851.0449557304382
10	100000	0.5	0.1	1	Borda	False	False	(0,)	516366.9351278796	1372.8934869766235
10	10000	0.5	0.1	4	Plurality	False	False	(0,)	1397.2770521998189	73.90208005905151
10	10000	0.5	0.1	4	2-approval	False	False	(0,)	2683.872633168374	84.10340332984924
10	10000	0.5	0.1	4	Borda	False	False	(0,)	51446.314930548746	134.12493705749512
10	100	0.5	0.1	4	Plurality	False	False	(0,)	14.76301685586514	0.9055531024932861
10	100	0.5	0.1	4	2-approval	False	False	(0,)	28.057413304503065	0.8276553153991699
10	100	0.5	0.1	4	Borda	False	False	(0,)	521.4627286704156	1.5171451568603516
10	100000	0.5	0.1	4	Plurality	False	False	(0,)	14037.0693328828	760.9835090637207
10	100000	0.5	0.1	4	2-approval	False	False	(0,)	26971.3925184062	843.6432974338531
10	100000	0.5	0.1	4	Borda	False	False	(0,)	516052.80092709855	1376.710288286209
10	10000	0.5	0.1	7	Plurality	False	False	(0,)	1409.599063153197	75.74598383903503
10	10000	0.5	0.1	7	2-approval	False	False	(0,)	2704.8646492834346	85.63739490509033
10	10000	0.5	0.1	7	Borda	False	False	(0,)	51626.854694495196	137.1863944530487
10	100000	0.5	0.1	7	Plurality	False	False	(0,)	13994.460663019556	761.4152405261993
10	100000	0.5	0.1	7	2-approval	False	False	(0,)	26894.940898539473	849.7778735160828
10	100000	0.5	0.1	7	Borda	False	False	(0,)	515267.76369369455	1379.8325855731964
