m	n	phi	tb_size	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.5	3	9	Borda	(0,)	8053.0	7699.0	1000	0.004831075668334961	1.2874603271484375e-05	0	0.0050029754638671875
10	1000	0.9	3	1	Plurality	(0,)	137.0	137.0	1000	0.00487828254699707	1.33514404296875e-05	0	0.005057334899902344
10	1000	0.9	3	1	2-approval	(0,)	276.0	276.0	1000	0.0050084590911865234	1.430511474609375e-05	0	0.0055429935455322266
10	1000	0.9	3	1	Borda	(1,)	3599.0134987792176	3524.0134987792208	62	0.004907131195068359	0.0031137466430664062	0.6818184852600098	0.6993927955627441
10	1000	0.9	3	4	Plurality	(0,)	172.0	172.0	1000	0.0049440860748291016	1.2874603271484375e-05	0	0.005125999450683594
10	1000	0.9	3	4	2-approval	(0,)	296.0	296.0	1000	0.004906892776489258	1.2874603271484375e-05	0	0.005147695541381836
10	1000	0.9	3	4	Borda	(0,)	4119.011213188169	3837.0112131881756	250	0.004919290542602539	0.0023164749145507812	0.5254757404327393	0.5399954319000244
10	1000	0.9	3	7	Plurality	(0,)	164.0	164.0	1000	0.004918575286865234	1.2159347534179688e-05	0	0.005102872848510742
10	1000	0.9	3	7	2-approval	(0,)	292.0	292.0	1000	0.004892110824584961	1.2159347534179688e-05	0	0.005068540573120117
10	1000	0.9	3	7	Borda	(0,)	4256.009756051277	3923.0097560512804	272	0.00489497184753418	0.002160787582397461	0.4983839988708496	0.5123467445373535
10	1000	0.5	3	2	Plurality	(0,)	520.0	520.0	1000	0.005059719085693359	1.33514404296875e-05	0	0.005248308181762695
10	1000	0.5	3	2	2-approval	(0,)	745.0	745.0	1000	0.004894256591796875	1.1444091796875e-05	0	0.005141496658325195
10	1000	0.5	3	2	Borda	(0,)	8088.0	7716.0	1000	0.004949331283569336	1.2636184692382812e-05	0	0.005126476287841797
10	1000	0.1	3	2	Plurality	(0,)	915.0	915.0	1000	0.004973411560058594	1.3828277587890625e-05	0	0.00516057014465332
10	1000	0.1	3	2	2-approval	(0,)	993.0	993.0	1000	0.004809856414794922	1.1920928955078125e-05	0	0.004986286163330078
10	1000	0.1	3	2	Borda	(0,)	8908.0	8908.0	1000	0.004811763763427734	1.1920928955078125e-05	0	0.004994392395019531
10	1000	0.1	3	8	Plurality	(0,)	911.0	911.0	1000	0.004840850830078125	1.1920928955078125e-05	0	0.005017518997192383
10	1000	0.1	3	8	2-approval	(0,)	993.0	993.0	1000	0.004789113998413086	1.1920928955078125e-05	0	0.005057573318481445
10	1000	0.1	3	8	Borda	(0,)	8902.0	8896.0	1000	0.004876613616943359	1.2159347534179688e-05	0	0.005051136016845703
10	1000	0.5	3	8	Plurality	(0,)	515.0	515.0	1000	0.004915714263916016	1.2874603271484375e-05	0	0.005102396011352539
10	1000	0.5	3	8	2-approval	(0,)	751.0	751.0	1000	0.004891157150268555	1.2159347534179688e-05	0	0.00507354736328125
10	1000	0.5	3	8	Borda	(0,)	8107.0	7753.0	1000	0.004873514175415039	1.2159347534179688e-05	0	0.0050506591796875
10	1000	0.5	3	5	Plurality	(0,)	495.0	495.0	1000	0.004874467849731445	1.3113021850585938e-05	0	0.0050547122955322266
10	1000	0.5	3	5	2-approval	(0,)	758.0	758.0	1000	0.005045890808105469	1.4066696166992188e-05	0	0.005242824554443359
10	1000	0.5	3	5	Borda	(0,)	8112.0	7803.0	1000	0.005079746246337891	1.33514404296875e-05	0	0.005348920822143555
10	1000	0.1	3	5	Plurality	(0,)	900.0	900.0	1000	0.0048825740814208984	1.2636184692382812e-05	0	0.005067110061645508
10	1000	0.1	3	5	2-approval	(0,)	986.0	986.0	1000	0.004804134368896484	1.1920928955078125e-05	0	0.004986763000488281
10	1000	0.1	3	5	Borda	(0,)	8885.0	8882.0	1000	0.0048389434814453125	1.1444091796875e-05	0	0.005016326904296875
10	1000	0.9	3	0	Plurality	(0,)	160.0	160.0	1000	0.004914283752441406	1.2636184692382812e-05	0	0.0051000118255615234
10	1000	0.9	3	0	2-approval	(0,)	292.0	292.0	1000	0.004893302917480469	1.239776611328125e-05	0	0.005164623260498047
10	1000	0.9	3	0	Borda	(0,)	4036.0122064023076	3799.0122064023085	184	0.004867076873779297	0.0023818016052246094	0.5375800132751465	0.5524539947509766
10	1000	0.9	3	3	Plurality	(0,)	149.0	149.0	1000	0.004899740219116211	1.2159347534179688e-05	0	0.005080461502075195
10	1000	0.9	3	3	2-approval	(0,)	300.0	300.0	1000	0.0048961639404296875	1.2874603271484375e-05	0	0.005074977874755859
10	1000	0.9	3	3	Borda	(0,)	4001.0108101435003	3797.0108101435044	215	0.004949808120727539	0.002481698989868164	0.5619683265686035	0.5772750377655029
10	1000	0.9	3	6	Plurality	(0,)	159.0	159.0	1000	0.00494837760925293	1.1920928955078125e-05	0	0.005128383636474609
10	1000	0.9	3	6	2-approval	(0,)	307.0	307.0	1000	0.005023956298828125	1.4066696166992188e-05	0	0.005324125289916992
10	1000	0.9	3	6	Borda	(0,)	4451.009168200514	4067.0091682005154	336	0.004933595657348633	0.0020864009857177734	0.44744300842285156	0.46079325675964355
10	1000	0.9	3	9	Plurality	(0,)	153.0	153.0	1000	0.004935264587402344	1.2159347534179688e-05	0	0.005118608474731445
10	1000	0.9	3	9	2-approval	(0,)	299.0	299.0	1000	0.004904508590698242	1.2874603271484375e-05	0	0.0050811767578125
10	1000	0.9	3	9	Borda	(0,)	4007.0116796789457	3806.0116796789503	177	0.005060434341430664	0.002329587936401367	0.5187859535217285	0.5333878993988037
10	1000	0.5	3	1	Plurality	(0,)	520.0	520.0	1000	0.004849672317504883	1.1920928955078125e-05	0	0.005033016204833984
10	1000	0.5	3	1	2-approval	(0,)	770.0	770.0	1000	0.004912376403808594	1.3828277587890625e-05	0	0.0051937103271484375
10	1000	0.5	3	1	Borda	(0,)	8146.0	7798.0	1000	0.004906654357910156	1.2159347534179688e-05	0	0.0050885677337646484
10	1000	0.1	3	1	Plurality	(0,)	903.0	903.0	1000	0.0048563480377197266	1.2159347534179688e-05	0	0.005037069320678711
10	1000	0.1	3	1	2-approval	(0,)	989.0	989.0	1000	0.004845619201660156	1.2159347534179688e-05	0	0.0050258636474609375
10	1000	0.1	3	1	Borda	(0,)	8892.0	8892.0	1000	0.004843235015869141	1.2874603271484375e-05	0	0.005027055740356445
10	1000	0.5	3	4	Plurality	(0,)	505.0	505.0	1000	0.004839897155761719	1.2159347534179688e-05	0	0.005018472671508789
10	1000	0.5	3	4	2-approval	(0,)	768.0	768.0	1000	0.004916667938232422	1.1920928955078125e-05	0	0.005200624465942383
10	1000	0.5	3	4	Borda	(0,)	8131.0	7780.0	1000	0.0049359798431396484	1.5735626220703125e-05	0	0.0051267147064208984
10	1000	0.1	3	4	Plurality	(0,)	921.0	921.0	1000	0.0048215389251708984	1.2159347534179688e-05	0	0.004999876022338867
10	1000	0.1	3	4	2-approval	(0,)	994.0	994.0	1000	0.004836082458496094	1.2159347534179688e-05	0	0.005010128021240234
10	1000	0.1	3	4	Borda	(0,)	8914.0	8911.0	1000	0.004825592041015625	1.1920928955078125e-05	0	0.005003213882446289
10	1000	0.9	3	2	Plurality	(1,)	147.0	147.0	1000	0.00482177734375	1.239776611328125e-05	0	0.0050029754638671875
10	1000	0.9	3	2	2-approval	(0,)	291.0	291.0	1000	0.0050852298736572266	1.33514404296875e-05	0	0.0053713321685791016
10	1000	0.9	3	2	Borda	(0,)	4056.010668865113	3810.0106688651153	199	0.004944324493408203	0.002377033233642578	0.5187642574310303	0.5334014892578125
10	1000	0.5	3	7	Plurality	(0,)	500.0	500.0	1000	0.004883766174316406	1.1920928955078125e-05	0	0.0050623416900634766
10	1000	0.5	3	7	2-approval	(0,)	751.0	751.0	1000	0.0049800872802734375	1.2636184692382812e-05	0	0.005163908004760742
10	1000	0.5	3	7	Borda	(0,)	8098.0	7738.0	1000	0.004868745803833008	1.2159347534179688e-05	0	0.005053281784057617
10	1000	0.1	3	7	Plurality	(0,)	895.0	895.0	1000	0.004896402359008789	1.2159347534179688e-05	0	0.005075693130493164
10	1000	0.1	3	7	2-approval	(0,)	988.0	988.0	1000	0.0049610137939453125	1.2636184692382812e-05	0	0.005245208740234375
10	1000	0.1	3	7	Borda	(0,)	8879.0	8867.0	1000	0.005830526351928711	1.33514404296875e-05	0	0.006016254425048828
10	1000	0.9	3	5	Plurality	(0,)	129.0	129.0	1000	0.0049517154693603516	1.2874603271484375e-05	0	0.0051381587982177734
10	1000	0.9	3	5	2-approval	(0,)	279.0	279.0	1000	0.0049135684967041016	1.2874603271484375e-05	0	0.005095481872558594
10	1000	0.9	3	5	Borda	(0,)	3871.0124147910324	3649.0124147910346	189	0.0049245357513427734	0.0026073455810546875	0.6312649250030518	0.6476771831512451
10	1000	0.9	3	8	Plurality	(0,)	157.0	157.0	1000	0.0049016475677490234	1.2159347534179688e-05	0	0.005083799362182617
10	1000	0.9	3	8	2-approval	(0,)	308.0	308.0	1000	0.004951953887939453	1.1920928955078125e-05	0	0.005232095718383789
10	1000	0.9	3	8	Borda	(0,)	4441.009357094723	4051.0093570947233	328	0.0049288272857666016	0.001981496810913086	0.43344855308532715	0.4464378356933594
