m	phi	pmax	ith_such_poset	cardinality	poset
10	0.5	0.1	13	5	Poset(parent_to_children={0: {3, 6}, 2: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	14	6	Poset(parent_to_children={1: {4, 6}, 3: {5}, 4: {7}, 5: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	15	4	Poset(parent_to_children={2: {0}, 1: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	16	2	Poset(parent_to_children={9: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	17	5	Poset(parent_to_children={5: {6, 7}, 2: {8}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	18	8	Poset(parent_to_children={1: {6}, 2: {0, 8}, 5: {3}, 6: {8, 9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	19	5	Poset(parent_to_children={0: {8}, 6: {9, 7}, 9: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	20	2	Poset(parent_to_children={4: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	21	6	Poset(parent_to_children={0: {4, 5}, 1: {8, 3}, 4: {8}, 3: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	22	7	Poset(parent_to_children={2: {9, 4, 6}, 0: {1}, 8: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	23	2	Poset(parent_to_children={3: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	24	4	Poset(parent_to_children={2: {8}, 5: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	25	4	Poset(parent_to_children={5: {9}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	26	8	Poset(parent_to_children={2: {9, 4}, 0: {5, 6}, 4: {8}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	27	2	Poset(parent_to_children={1: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	28	5	Poset(parent_to_children={5: {9, 7}, 8: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	29	4	Poset(parent_to_children={2: {3}, 1: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	30	5	Poset(parent_to_children={2: {3}, 1: {6}, 3: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	31	6	Poset(parent_to_children={0: {8, 9}, 3: {9, 5}, 9: {5, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	32	4	Poset(parent_to_children={3: {4}, 5: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	33	2	Poset(parent_to_children={1: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	34	3	Poset(parent_to_children={0: {1, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	35	6	Poset(parent_to_children={2: {5}, 1: {9, 4, 7}, 7: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	36	6	Poset(parent_to_children={0: {4}, 5: {8, 4}, 9: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	37	2	Poset(parent_to_children={1: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	38	3	Poset(parent_to_children={1: {8}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	39	6	Poset(parent_to_children={0: {3}, 2: {8, 1, 3}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	40	6	Poset(parent_to_children={3: {8}, 1: {9, 7}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	41	5	Poset(parent_to_children={1: {0}, 2: {9}, 7: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	42	2	Poset(parent_to_children={8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	43	2	Poset(parent_to_children={8: {3}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	44	2	Poset(parent_to_children={1: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	45	2	Poset(parent_to_children={6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	46	4	Poset(parent_to_children={4: {7}, 8: {1}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	47	4	Poset(parent_to_children={2: {5}, 1: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	48	3	Poset(parent_to_children={4: {8, 9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	49	6	Poset(parent_to_children={2: {8, 9}, 0: {3}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	50	5	Poset(parent_to_children={2: {7}, 3: {5}, 5: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	51	4	Poset(parent_to_children={3: {0, 9, 5}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	52	2	Poset(parent_to_children={4: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	53	5	Poset(parent_to_children={0: {8, 6}, 4: {1}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	54	5	Poset(parent_to_children={3: {6}, 7: {6}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	55	2	Poset(parent_to_children={0: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	56	2	Poset(parent_to_children={1: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	57	3	Poset(parent_to_children={2: {3, 4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	58	4	Poset(parent_to_children={3: {4}, 0: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	59	4	Poset(parent_to_children={2: {8}, 4: {9}, 9: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	60	4	Poset(parent_to_children={1: {9}, 2: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	61	4	Poset(parent_to_children={3: {9, 2}, 2: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	62	2	Poset(parent_to_children={2: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	63	3	Poset(parent_to_children={5: {8}, 6: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	64	5	Poset(parent_to_children={0: {9}, 4: {9}, 3: {9}, 9: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	65	4	Poset(parent_to_children={2: {8}, 3: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	66	2	Poset(parent_to_children={0: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	67	4	Poset(parent_to_children={5: {6}, 2: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	68	2	Poset(parent_to_children={8: {3}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	69	6	Poset(parent_to_children={0: {1, 2, 5}, 7: {9, 2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	70	5	Poset(parent_to_children={1: {3, 6}, 5: {3, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	71	4	Poset(parent_to_children={2: {7}, 6: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	72	3	Poset(parent_to_children={8: {4}, 9: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	73	4	Poset(parent_to_children={0: {3}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	74	5	Poset(parent_to_children={2: {6}, 0: {8, 9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	75	2	Poset(parent_to_children={4: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	76	2	Poset(parent_to_children={2: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	77	6	Poset(parent_to_children={2: {9, 7}, 4: {5}, 5: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	78	7	Poset(parent_to_children={1: {5}, 0: {3}, 3: {8, 9, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	79	6	Poset(parent_to_children={0: {1, 3, 6}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	80	4	Poset(parent_to_children={0: {9, 4, 6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	81	8	Poset(parent_to_children={1: {2}, 0: {2, 7}, 2: {9}, 3: {8}, 7: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	82	5	Poset(parent_to_children={3: {6}, 6: {9}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	83	4	Poset(parent_to_children={2: {8}, 4: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	84	2	Poset(parent_to_children={3: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	85	7	Poset(parent_to_children={2: {1}, 1: {3}, 4: {9}, 9: {5, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	86	2	Poset(parent_to_children={0: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	87	2	Poset(parent_to_children={5: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	88	5	Poset(parent_to_children={1: {3}, 0: {9}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	89	7	Poset(parent_to_children={6: {2}, 7: {8, 1, 9}, 1: {3}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	90	4	Poset(parent_to_children={0: {7}, 8: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	91	5	Poset(parent_to_children={4: {5}, 5: {6}, 7: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	92	4	Poset(parent_to_children={7: {6}, 3: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	93	5	Poset(parent_to_children={0: {8, 6}, 1: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	94	2	Poset(parent_to_children={4: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	95	4	Poset(parent_to_children={0: {1}, 3: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	96	7	Poset(parent_to_children={4: {8}, 2: {8}, 1: {7}, 5: {8, 7}, 9: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	97	2	Poset(parent_to_children={0: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	98	4	Poset(parent_to_children={4: {1}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	99	6	Poset(parent_to_children={0: {1}, 4: {8}, 6: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	0	6	Poset(parent_to_children={3: {8, 5}, 1: {9, 6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	1	9	Poset(parent_to_children={0: {7}, 1: {5}, 3: {8}, 8: {9, 6}, 4: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	2	9	Poset(parent_to_children={0: {1}, 3: {9}, 4: {9}, 2: {8}, 1: {9}, 5: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	3	6	Poset(parent_to_children={4: {9}, 1: {3}, 2: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	4	5	Poset(parent_to_children={2: {3}, 3: {0}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	5	7	Poset(parent_to_children={0: {9}, 6: {9}, 2: {4}, 4: {7}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	6	5	Poset(parent_to_children={2: {4}, 9: {8, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	7	5	Poset(parent_to_children={3: {8}, 5: {7}, 4: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	8	6	Poset(parent_to_children={2: {8}, 4: {9, 7}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	9	5	Poset(parent_to_children={3: {4}, 1: {5}, 5: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	10	7	Poset(parent_to_children={0: {8, 1, 2}, 1: {4, 7}, 3: {8, 7}, 8: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	11	8	Poset(parent_to_children={5: {2}, 2: {0}, 1: {6, 7}, 3: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	12	5	Poset(parent_to_children={3: {5}, 4: {9}, 6: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	13	6	Poset(parent_to_children={5: {0}, 3: {8, 6}, 6: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	14	7	Poset(parent_to_children={3: {5}, 2: {5}, 1: {9}, 4: {5}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	15	7	Poset(parent_to_children={0: {1}, 5: {9, 7}, 1: {8, 9, 4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	16	6	Poset(parent_to_children={1: {2}, 0: {8, 7}, 2: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	17	8	Poset(parent_to_children={4: {1}, 2: {3}, 1: {9}, 5: {9}, 8: {6}, 3: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	18	8	Poset(parent_to_children={2: {0, 4}, 0: {1}, 5: {1}, 1: {9, 6, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	19	6	Poset(parent_to_children={0: {4}, 3: {2, 4}, 4: {8}, 2: {8, 9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	20	3	Poset(parent_to_children={7: {6}, 6: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	21	9	Poset(parent_to_children={1: {8, 9}, 3: {2}, 6: {4, 5}, 9: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	22	9	Poset(parent_to_children={0: {6}, 2: {9}, 1: {9}, 4: {9, 7}, 3: {5}, 6: {9, 5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	23	4	Poset(parent_to_children={1: {9}, 8: {5}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	24	9	Poset(parent_to_children={0: {5, 6}, 1: {3}, 2: {4}, 5: {8}, 4: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	25	8	Poset(parent_to_children={1: {8}, 3: {5}, 7: {8, 2}, 2: {5}, 4: {9}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	26	5	Poset(parent_to_children={4: {8, 9, 3, 6}, 3: {9}, 9: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	27	8	Poset(parent_to_children={3: {4}, 5: {2}, 2: {8, 9}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	28	6	Poset(parent_to_children={0: {8, 4}, 1: {9}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	29	6	Poset(parent_to_children={2: {9, 3}, 5: {9}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	30	7	Poset(parent_to_children={2: {8, 7}, 3: {4}, 9: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	31	4	Poset(parent_to_children={0: {4}, 9: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	32	7	Poset(parent_to_children={1: {6}, 2: {3, 4}, 4: {9}, 3: {8}, 6: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	33	6	Poset(parent_to_children={1: {6}, 3: {2}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	34	8	Poset(parent_to_children={0: {1, 3}, 1: {8, 2}, 5: {8}, 4: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	35	5	Poset(parent_to_children={1: {0, 3}, 4: {7}, 3: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	36	6	Poset(parent_to_children={3: {2, 5, 7}, 2: {8}, 6: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	37	10	Poset(parent_to_children={1: {5}, 2: {7}, 0: {4}, 3: {4}, 6: {9}, 7: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	38	4	Poset(parent_to_children={0: {4, 5}, 3: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	39	2	Poset(parent_to_children={0: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	40	4	Poset(parent_to_children={2: {6}, 4: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	41	6	Poset(parent_to_children={0: {3, 7}, 4: {5}, 5: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	42	4	Poset(parent_to_children={0: {4}, 2: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	43	5	Poset(parent_to_children={0: {9}, 3: {9}, 6: {8, 9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	44	6	Poset(parent_to_children={0: {1, 7}, 3: {1, 5}, 1: {9, 5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	45	6	Poset(parent_to_children={0: {7}, 2: {3}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	46	3	Poset(parent_to_children={3: {8, 6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	47	5	Poset(parent_to_children={2: {7}, 3: {6}, 7: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	48	7	Poset(parent_to_children={4: {8, 1, 7}, 3: {8, 6}, 8: {9}, 9: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	49	8	Poset(parent_to_children={1: {2}, 5: {9}, 2: {8}, 0: {8, 9, 4}, 3: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	50	9	Poset(parent_to_children={0: {9}, 1: {2, 4}, 5: {9, 4}, 3: {6}, 6: {9}, 9: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	51	6	Poset(parent_to_children={7: {1, 3, 9}, 3: {8, 9}, 6: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	52	5	Poset(parent_to_children={0: {8, 9, 2}, 2: {5}, 5: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	53	7	Poset(parent_to_children={1: {3}, 4: {5}, 3: {9, 6, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	54	7	Poset(parent_to_children={0: {5}, 1: {6}, 2: {7}, 4: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	55	2	Poset(parent_to_children={6: {3}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	56	8	Poset(parent_to_children={0: {4}, 1: {5}, 3: {8, 4, 6}, 6: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	57	7	Poset(parent_to_children={0: {2, 5}, 1: {4}, 6: {4}, 5: {3}, 3: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	58	7	Poset(parent_to_children={2: {8, 4, 7}, 5: {0, 8, 7}, 7: {0}, 4: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	59	7	Poset(parent_to_children={1: {0, 2}, 3: {5, 6}, 5: {6}, 7: {2}, 2: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	60	8	Poset(parent_to_children={1: {3, 4}, 2: {3}, 0: {9}, 6: {4}, 4: {8}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	61	6	Poset(parent_to_children={0: {6}, 5: {3}, 3: {9, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	62	4	Poset(parent_to_children={5: {7}, 8: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	63	6	Poset(parent_to_children={3: {0, 5}, 8: {6, 7}, 6: {7}, 5: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	64	6	Poset(parent_to_children={1: {5}, 3: {2, 4, 6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	65	8	Poset(parent_to_children={0: {3, 4, 6}, 1: {6}, 8: {9}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	66	4	Poset(parent_to_children={3: {0}, 8: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	67	7	Poset(parent_to_children={0: {2}, 3: {4}, 1: {2}, 2: {9}, 4: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	68	4	Poset(parent_to_children={4: {2}, 9: {8}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	69	8	Poset(parent_to_children={3: {5}, 0: {5}, 2: {4}, 1: {4, 6}, 7: {4, 6}, 4: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	70	8	Poset(parent_to_children={1: {8, 9}, 0: {8, 2}, 3: {5}, 4: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	71	4	Poset(parent_to_children={0: {1, 5, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.2	72	5	Poset(parent_to_children={0: {3, 6}, 1: {3}, 3: {9}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
