m	n	phi	pmax	batch	rule	mpw	t_mpw_s	mew	t_mew_s
3	5	0.5	0.1	8	2-approval	{1}	0.0018258094787597656	(1,)	0.0009686946868896484
3	5	0.5	0.1	8	Borda	{1}	0.003605365753173828	(1,)	0.002054452896118164
5	3	0.5	0.1	1	Plurality	{1}	0.02273082733154297	(1,)	0.0017137527465820312
5	3	0.5	0.1	1	2-approval	{1}	0.05139946937561035	(1,)	0.0025377273559570312
5	3	0.5	0.1	1	Borda	{1}	1.9700796604156494	(1,)	0.002683877944946289
3	5	0.5	0.1	1	Plurality	{0, 1}	0.0016245841979980469	(0, 1)	0.0022530555725097656
3	5	0.5	0.1	1	2-approval	{1}	0.0013141632080078125	(0, 1)	0.00099945068359375
3	5	0.5	0.1	1	Borda	{0, 1}	0.0030603408813476562	(0, 1)	0.002264261245727539
5	3	0.5	0.1	3	Plurality	{0}	0.015367269515991211	(0,)	0.002578258514404297
5	3	0.5	0.1	3	2-approval	{0}	0.032782554626464844	(0,)	0.0040967464447021484
5	3	0.5	0.1	3	Borda	{0}	1.1762902736663818	(0,)	0.0042879581451416016
5	3	0.5	0.1	7	Plurality	{3}	0.0239102840423584	(3,)	0.0012667179107666016
5	3	0.5	0.1	7	2-approval	{3}	0.05339503288269043	(3,)	0.002263784408569336
5	3	0.5	0.1	7	Borda	{3}	2.080758571624756	(3,)	0.0023686885833740234
3	5	0.5	0.1	3	Plurality	{1}	0.0012509822845458984	(1,)	0.0014350414276123047
3	5	0.5	0.1	3	2-approval	{1}	0.001829385757446289	(1,)	0.0009756088256835938
3	5	0.5	0.1	3	Borda	{1}	0.003938198089599609	(1,)	0.0018801689147949219
3	5	0.5	0.1	5	Plurality	{0}	0.0019643306732177734	(0,)	0.0015134811401367188
3	5	0.5	0.1	5	2-approval	{0}	0.0018076896667480469	(0,)	0.001310110092163086
3	5	0.5	0.1	5	Borda	{0}	0.004343271255493164	(0,)	0.0022377967834472656
3	5	0.5	0.1	7	Plurality	{0}	0.0017380714416503906	(0,)	0.0012373924255371094
3	5	0.5	0.1	7	2-approval	{0}	0.0017528533935546875	(0,)	0.0010080337524414062
3	5	0.5	0.1	7	Borda	{0}	0.00428318977355957	(0,)	0.0017707347869873047
3	5	0.5	0.1	0	Plurality	{0}	0.0017518997192382812	(0,)	0.0011975765228271484
3	5	0.5	0.1	0	2-approval	{0}	0.001928567886352539	(0,)	0.0012137889862060547
3	5	0.5	0.1	0	Borda	{0}	0.0037033557891845703	(0,)	0.0021049976348876953
3	5	0.5	0.1	9	Plurality	{0}	0.0018362998962402344	(0,)	0.0015876293182373047
3	5	0.5	0.1	9	2-approval	{0}	0.001825571060180664	(0,)	0.0015938282012939453
3	5	0.5	0.1	9	Borda	{0}	0.0033736228942871094	(0,)	0.002833843231201172
5	3	0.5	0.1	5	Plurality	{2}	0.0234220027923584	(2,)	0.0012822151184082031
5	3	0.5	0.1	5	2-approval	{2}	0.05224871635437012	(2,)	0.002379894256591797
5	3	0.5	0.1	5	Borda	{2}	2.0809223651885986	(2,)	0.002505064010620117
3	5	0.5	0.1	2	Plurality	{1}	0.001809835433959961	(0, 1)	0.0012264251708984375
3	5	0.5	0.1	2	2-approval	{0}	0.0019004344940185547	(0, 1)	0.0014286041259765625
3	5	0.5	0.1	2	Borda	{0}	0.0037078857421875	(0, 1)	0.0023152828216552734
4	5	0.5	0.1	7	Plurality	{0}	0.014162540435791016	(0,)	0.0031931400299072266
4	5	0.5	0.1	7	2-approval	{0}	0.024821758270263672	(0,)	0.003041982650756836
4	5	0.5	0.1	7	Borda	{0}	0.22861599922180176	(0,)	0.003149271011352539
5	4	0.5	0.1	5	Plurality	{1}	0.051456451416015625	(1,)	0.0021529197692871094
5	4	0.5	0.1	5	2-approval	{1}	0.12678837776184082	(1,)	0.002889394760131836
5	4	0.5	0.1	5	Borda	{1}	7.1774866580963135	(1,)	0.003687620162963867
4	5	0.5	0.1	0	Plurality	{2}	0.014697551727294922	(2,)	0.002514362335205078
4	5	0.5	0.1	0	2-approval	{2}	0.02967047691345215	(2,)	0.0031328201293945312
4	5	0.5	0.1	0	Borda	{2}	0.2912600040435791	(2,)	0.0029494762420654297
4	5	0.5	0.1	9	Plurality	{2}	0.01203465461730957	(2,)	0.003129720687866211
4	5	0.5	0.1	9	2-approval	{2}	0.020130157470703125	(2,)	0.003187894821166992
4	5	0.5	0.1	9	Borda	{2}	0.18608427047729492	(2,)	0.003922939300537109
5	4	0.5	0.1	7	Plurality	{1}	0.050272226333618164	(1,)	0.0022225379943847656
5	4	0.5	0.1	7	2-approval	{1}	0.14089155197143555	(1,)	0.0034291744232177734
5	4	0.5	0.1	7	Borda	{1}	8.451979875564575	(1,)	0.004128217697143555
4	5	0.5	0.1	2	Plurality	{0}	0.011993169784545898	(0,)	0.003037691116333008
4	5	0.5	0.1	2	2-approval	{0}	0.020572662353515625	(0,)	0.0029222965240478516
4	5	0.5	0.1	2	Borda	{0}	0.19941353797912598	(0,)	0.003389120101928711
5	4	0.5	0.1	0	Plurality	{0}	0.039583683013916016	(0,)	0.0025980472564697266
5	4	0.5	0.1	0	2-approval	{0}	0.10272908210754395	(0,)	0.003134489059448242
5	4	0.5	0.1	0	Borda	{0}	5.979427814483643	(0,)	0.00406336784362793
5	4	0.5	0.1	9	Plurality	{1}	0.051828861236572266	(1,)	0.0024831295013427734
5	4	0.5	0.1	9	2-approval	{1}	0.15023088455200195	(1,)	0.0036666393280029297
5	4	0.5	0.1	9	Borda	{1}	9.503538370132446	(1,)	0.004297494888305664
4	5	0.5	0.1	4	Plurality	{0}	0.01345372200012207	(0,)	0.001851797103881836
4	5	0.5	0.1	4	2-approval	{0}	0.02281785011291504	(0,)	0.0030884742736816406
4	5	0.5	0.1	4	Borda	{0}	0.23259210586547852	(0,)	0.0028595924377441406
5	4	0.5	0.1	2	Plurality	{1}	0.06017804145812988	(1,)	0.0021212100982666016
5	4	0.5	0.1	2	2-approval	{1}	0.1833958625793457	(1,)	0.0032608509063720703
5	4	0.5	0.1	2	Borda	{1}	11.242939710617065	(1,)	0.0033936500549316406
4	5	0.5	0.1	6	Plurality	{0}	0.01583242416381836	(0,)	0.002044677734375
4	5	0.5	0.1	6	2-approval	{0}	0.030512571334838867	(0,)	0.0034193992614746094
4	5	0.5	0.1	6	Borda	{0}	0.2812821865081787	(0,)	0.0033164024353027344
4	5	0.5	0.1	8	Plurality	{0}	0.015480756759643555	(0,)	0.0018985271453857422
4	5	0.5	0.1	8	2-approval	{0}	0.026250362396240234	(0,)	0.0034508705139160156
4	5	0.5	0.1	8	Borda	{0}	0.26666879653930664	(0,)	0.0026009082794189453
4	5	0.5	0.1	1	Plurality	{0}	0.01475834846496582	(0,)	0.001636505126953125
4	5	0.5	0.1	1	2-approval	{0}	0.02797245979309082	(0,)	0.0031957626342773438
4	5	0.5	0.1	1	Borda	{0}	0.2723379135131836	(0,)	0.0029878616333007812
5	4	0.5	0.1	4	Plurality	{2}	0.04287266731262207	(0, 1, 2)	0.002753734588623047
5	4	0.5	0.1	4	2-approval	{0}	0.1133420467376709	(0, 1, 2)	0.0041425228118896484
5	4	0.5	0.1	4	Borda	{0}	6.829313039779663	(0, 1, 2)	0.004799842834472656
5	4	0.5	0.1	6	Plurality	{0}	0.025414466857910156	(0,)	0.0029129981994628906
5	4	0.5	0.1	6	2-approval	{0}	0.060751914978027344	(0,)	0.002262592315673828
5	4	0.5	0.1	6	Borda	{0}	2.817040205001831	(0,)	0.002800464630126953
5	4	0.5	0.1	8	Plurality	{1}	0.05607748031616211	(1,)	0.0016298294067382812
5	4	0.5	0.1	8	2-approval	{1}	0.17596817016601562	(1,)	0.0029706954956054688
5	4	0.5	0.1	8	Borda	{1}	11.539118528366089	(1,)	0.00312042236328125
4	5	0.5	0.1	3	Plurality	{1}	0.013879537582397461	(1,)	0.001894235610961914
4	5	0.5	0.1	3	2-approval	{1}	0.02623891830444336	(1,)	0.003019094467163086
4	5	0.5	0.1	3	Borda	{1}	0.24456119537353516	(1,)	0.003123044967651367
5	4	0.5	0.1	1	Plurality	{1}	0.0643761157989502	(1,)	0.0016946792602539062
5	4	0.5	0.1	1	2-approval	{1}	0.18506550788879395	(1,)	0.002826213836669922
5	4	0.5	0.1	1	Borda	{1}	11.878997325897217	(1,)	0.003459930419921875
4	5	0.5	0.1	5	Plurality	{1}	0.009498357772827148	(1,)	0.0016634464263916016
4	5	0.5	0.1	5	2-approval	{1}	0.025502443313598633	(1,)	0.0028014183044433594
4	5	0.5	0.1	5	Borda	{1}	0.25467848777770996	(1,)	0.0028791427612304688
5	4	0.5	0.1	3	Plurality	{0}	0.0531919002532959	(0,)	0.002768278121948242
5	4	0.5	0.1	3	2-approval	{0}	0.13283324241638184	(0,)	0.0036029815673828125
5	4	0.5	0.1	3	Borda	{0}	6.91113018989563	(0,)	0.004229545593261719
5	5	0.5	0.1	5	Plurality	{1}	0.14269781112670898	(0, 1)	0.0022346973419189453
5	5	0.5	0.1	5	2-approval	{0}	0.5141260623931885	(0, 1)	0.004086732864379883
5	5	0.5	0.1	5	Borda	{0}	39.74826264381409	(0, 1)	0.004504203796386719
5	5	0.5	0.1	7	Plurality	{1}	0.14751076698303223	(1,)	0.00211334228515625
5	5	0.5	0.1	7	2-approval	{1}	0.5084166526794434	(1,)	0.0037899017333984375
5	5	0.5	0.1	7	Borda	{1}	42.22761082649231	(1,)	0.0042498111724853516
5	5	0.5	0.1	0	Plurality	{4}	0.12615251541137695	(4,)	0.003062725067138672
5	5	0.5	0.1	0	2-approval	{4}	0.4355771541595459	(4,)	0.003950357437133789
5	5	0.5	0.1	0	Borda	{4}	34.2096586227417	(4,)	0.0044214725494384766
5	5	0.5	0.1	9	Plurality	{1}	0.06337642669677734	(1,)	0.005158424377441406
5	5	0.5	0.1	9	2-approval	{1}	0.20383167266845703	(1,)	0.006541013717651367
5	5	0.5	0.1	9	Borda	{1}	13.502957344055176	(1,)	0.007822751998901367
5	5	0.5	0.1	2	Plurality	{1}	0.10273003578186035	(0, 1)	0.0027997493743896484
5	5	0.5	0.1	2	2-approval	{0}	0.32678890228271484	(0, 1)	0.00498652458190918
5	5	0.5	0.1	2	Borda	{0}	27.127495050430298	(0, 1)	0.00572514533996582
5	5	0.5	0.1	4	Plurality	{0}	0.12838268280029297	(0,)	0.0020699501037597656
5	5	0.5	0.1	4	2-approval	{0}	0.4766535758972168	(0,)	0.0034410953521728516
5	5	0.5	0.1	4	Borda	{0}	39.18609309196472	(0,)	0.003625154495239258
5	5	0.5	0.1	6	Plurality	{0}	0.038187265396118164	(0,)	0.0021622180938720703
5	5	0.5	0.1	6	2-approval	{0}	0.11578249931335449	(0,)	0.0034868717193603516
5	5	0.5	0.1	6	Borda	{0}	9.186708927154541	(0,)	0.006835460662841797
5	5	0.5	0.1	8	Plurality	{0, 1}	0.1314554214477539	(0, 1)	0.0020983219146728516
5	5	0.5	0.1	8	2-approval	{0, 1}	0.4649200439453125	(0, 1)	0.0036895275115966797
5	5	0.5	0.1	8	Borda	{0, 1}	40.93899941444397	(0, 1)	0.003912925720214844
5	5	0.5	0.1	1	Plurality	{0}	0.09387922286987305	(0,)	0.004559040069580078
5	5	0.5	0.1	1	2-approval	{0}	0.30614781379699707	(0,)	0.0055315494537353516
5	5	0.5	0.1	1	Borda	{0}	23.555718660354614	(0,)	0.0065081119537353516
5	5	0.5	0.1	3	Plurality	{3}	0.14823365211486816	(3,)	0.0021004676818847656
5	5	0.5	0.1	3	2-approval	{3}	0.5112643241882324	(3,)	0.0037708282470703125
5	5	0.5	0.1	3	Borda	{3}	42.1285924911499	(3,)	0.0039484500885009766
5	6	0.5	0.1	6	Plurality	{0}	0.1818549633026123	(0,)	0.0030753612518310547
5	6	0.5	0.1	6	2-approval	{0}	0.7353644371032715	(0,)	0.004508256912231445
5	6	0.5	0.1	6	Borda	{0}	63.583691120147705	(0,)	0.00542449951171875
6	5	0.5	0.1	3	Plurality	{1}	0.85300612449646	(1,)	0.004967212677001953
6	5	0.5	0.1	3	2-approval	{1}	4.475959062576294	(1,)	0.005193471908569336
6	5	0.5	0.1	3	Borda	{1}	4503.938417434692	(1,)	0.006454944610595703
5	6	0.5	0.1	8	Plurality	{0}	0.20125651359558105	(0,)	0.003166675567626953
5	6	0.5	0.1	8	2-approval	{0}	0.7378745079040527	(0,)	0.0047779083251953125
5	6	0.5	0.1	8	Borda	{0}	66.36230707168579	(0,)	0.00568079948425293
5	6	0.5	0.1	1	Plurality	{0}	0.18482589721679688	(0,)	0.0025396347045898438
5	6	0.5	0.1	1	2-approval	{0}	0.8258376121520996	(0,)	0.004485368728637695
5	6	0.5	0.1	1	Borda	{0}	81.7899956703186	(0,)	0.005339384078979492
5	6	0.5	0.1	3	Plurality	{2}	0.2954287528991699	(2,)	0.0024013519287109375
5	6	0.5	0.1	3	2-approval	{2}	1.139350175857544	(2,)	0.00428318977355957
5	6	0.5	0.1	3	Borda	{2}	107.96893382072449	(2,)	0.004776477813720703
5	6	0.5	0.1	5	Plurality	{0}	0.21594762802124023	(0,)	0.0039031505584716797
5	6	0.5	0.1	5	2-approval	{0}	0.7643318176269531	(0,)	0.005468845367431641
5	6	0.5	0.1	5	Borda	{0}	68.57134652137756	(0,)	0.00671839714050293
6	5	0.5	0.1	5	Plurality	{0}	0.4662353992462158	(0,)	0.008067846298217773
6	5	0.5	0.1	5	2-approval	{0}	2.2517192363739014	(0,)	0.011578083038330078
6	5	0.5	0.1	5	Borda	{0}	2015.7967836856842	(0,)	0.013323783874511719
5	6	0.5	0.1	7	Plurality	{2}	0.23339200019836426	(2,)	0.004652261734008789
5	6	0.5	0.1	7	2-approval	{2}	0.894744873046875	(2,)	0.0061283111572265625
5	6	0.5	0.1	7	Borda	{2}	76.17983913421631	(2,)	0.007069110870361328
6	5	0.5	0.1	7	Plurality	{1}	1.4605703353881836	(1, 3)	0.0032286643981933594
6	5	0.5	0.1	7	2-approval	{1}	8.64352297782898	(1, 3)	0.0043811798095703125
6	5	0.5	0.1	7	Borda	{1}	9776.124596357346	(1, 3)	0.004731178283691406
5	6	0.5	0.1	0	Plurality	{1}	0.28206372261047363	(1,)	0.0024843215942382812
5	6	0.5	0.1	0	2-approval	{1}	1.1303820610046387	(1,)	0.004180431365966797
5	6	0.5	0.1	0	Borda	{1}	104.7599732875824	(1,)	0.005002021789550781
6	5	0.5	0.1	0	Plurality	{2}	1.373035192489624	(2,)	0.004006385803222656
6	5	0.5	0.1	0	2-approval	{2}	7.763760566711426	(2,)	0.005586385726928711
6	5	0.5	0.1	0	Borda	{2}	8078.616588830948	(2,)	0.00647735595703125
6	5	0.5	0.1	9	Plurality	{1}	1.4194986820220947	(1,)	0.004420042037963867
6	5	0.5	0.1	9	2-approval	{1}	8.092603206634521	(1,)	0.004805088043212891
6	5	0.5	0.1	9	Borda	{1}	8650.730951070786	(1,)	0.006169319152832031
6	5	0.5	0.1	2	Plurality	{0}	0.9733936786651611	(0,)	0.0042002201080322266
6	5	0.5	0.1	2	2-approval	{0}	5.638602256774902	(0,)	0.005928754806518555
6	5	0.5	0.1	2	Borda	{0}	6145.434113264084	(0,)	0.006754159927368164
6	5	0.5	0.1	4	Plurality	{0}	0.7928707599639893	(0, 1)	0.005908966064453125
6	5	0.5	0.1	4	2-approval	{0}	4.2597496509552	(0,)	0.006027936935424805
6	5	0.5	0.1	4	Borda	{0}	3960.3259496688843	(0,)	0.008942127227783203
5	6	0.5	0.1	9	Plurality	{2}	0.2599334716796875	(2,)	0.004127979278564453
5	6	0.5	0.1	9	2-approval	{0}	0.8934895992279053	(0, 2)	0.004796028137207031
5	6	0.5	0.1	9	Borda	{0}	80.14692378044128	(0,)	0.0055959224700927734
6	5	0.5	0.1	6	Plurality	{1}	0.9221100807189941	(1,)	0.004388570785522461
6	5	0.5	0.1	6	2-approval	{1}	4.761242628097534	(1,)	0.005527496337890625
6	5	0.5	0.1	6	Borda	{1}	4622.87277674675	(0, 1, 2)	0.006848573684692383
5	6	0.5	0.1	2	Plurality	{1}	0.28354310989379883	(1,)	0.002599000930786133
5	6	0.5	0.1	2	2-approval	{1}	1.1586263179779053	(1,)	0.00465846061706543
5	6	0.5	0.1	2	Borda	{1}	109.50304508209229	(1,)	0.0050907135009765625
6	5	0.5	0.1	8	Plurality	{2}	1.2520675659179688	(0, 1, 2)	0.0049173831939697266
6	5	0.5	0.1	8	2-approval	{2}	7.321738958358765	(0, 1, 2)	0.0063745975494384766
6	5	0.5	0.1	8	Borda	{2}	7987.115017414093	(0, 1, 2)	0.006930112838745117
5	6	0.5	0.1	4	Plurality	{3}	0.28351807594299316	(0, 3)	0.002419710159301758
5	6	0.5	0.1	4	2-approval	{0}	1.1695911884307861	(0, 3)	0.004680633544921875
5	6	0.5	0.1	4	Borda	{0}	112.95065784454346	(0, 3)	0.004885435104370117
6	5	0.5	0.1	1	Plurality	{0}	0.6631577014923096	(0,)	0.007424831390380859
6	5	0.5	0.1	1	2-approval	{0}	3.452575206756592	(0,)	0.008333683013916016
6	5	0.5	0.1	1	Borda	{0}	3069.9558095932007	(0,)	0.008715391159057617
7	5	0.5	0.1	7	Plurality	{1, 4}	15.296611785888672	(1, 4)	0.005912065505981445
7	5	0.5	0.1	7	2-approval	{4}	138.72087740898132	(1, 4)	0.0070476531982421875
