m	n	phi	pmax	batch	rule	winners	winner_score	t_baseline_sec
10	1000	0.9	0.1	2	Plurality	(1,)	70.78484126984144	5.8321533203125
10	1000	0.9	0.1	2	2-approval	(1,)	141.23403880070592	6.800646066665649
10	1000	0.9	0.1	2	Borda	(1,)	3144.4447533619914	12.030590772628784
10	100	0.5	0.5	0	Plurality	(0,)	2.0570105820105824	2.2196874618530273
10	100	0.5	0.5	0	2-approval	(0,)	4.06487433862434	2.514033794403076
10	100	0.5	0.5	0	Borda	(0,)	89.00425843253969	4.16482138633728
10	100	0.5	0.5	9	Plurality	(0,)	1.749616677689595	2.364286422729492
10	100	0.5	0.5	9	2-approval	(0,)	3.4637274029982374	2.7092881202697754
10	100	0.5	0.5	9	Borda	(0,)	75.76602706128747	4.727058172225952
10	1000	0.5	0.5	5	Plurality	(0,)	19.578482969576754	23.969326734542847
10	1000	0.5	0.5	5	2-approval	(0,)	38.759993110670244	27.828716039657593
10	1000	0.5	0.5	5	Borda	(0,)	847.2708950617287	50.964235067367554
10	100	0.5	0.1	5	Plurality	(0,)	7.709999999999989	0.5488631725311279
10	100	0.5	0.1	5	2-approval	(0,)	15.143425925925913	0.6199946403503418
10	100	0.5	0.1	5	Borda	(2,)	324.5432539682539	1.0067682266235352
10	10000	0.5	0.9	1	Plurality	(0,)	78.03074652777703	240.54673171043396
10	10000	0.5	0.9	1	2-approval	(0,)	155.38969246031607	253.27567434310913
10	10000	0.5	0.9	1	Borda	(0,)	3466.9245207782214	340.42164516448975
10	10000	0.5	0.1	8	Plurality	(0,)	755.045166997426	57.25378155708313
10	10000	0.5	0.1	8	2-approval	(0,)	1492.8022641094897	66.09447145462036
10	10000	0.5	0.1	8	Borda	(0,)	32049.664970238093	117.59671640396118
10	10000	0.5	0.5	6	Plurality	(0,)	186.28872602512433	250.38906693458557
10	10000	0.5	0.5	6	2-approval	(0,)	368.8876714065101	289.7222511768341
10	10000	0.5	0.5	6	Borda	(0,)	8078.648047288396	544.6782531738281
10	100	0.5	0.9	6	Plurality	(0,)	1.01659942680776	2.485059976577759
10	100	0.5	0.9	6	2-approval	(0,)	2.0274118165784834	2.721454620361328
10	100	0.5	0.9	6	Borda	(0,)	45.45732005070547	3.801821231842041
10	1000	0.5	0.1	0	Plurality	(1,)	74.64539682539676	5.559897184371948
10	1000	0.5	0.1	0	2-approval	(1,)	147.88681437389764	6.223621368408203
10	1000	0.5	0.1	0	Borda	(1,)	3208.7497492283946	10.679945468902588
10	1000	0.5	0.9	2	Plurality	(0,)	7.987139825837729	24.121519565582275
10	1000	0.5	0.9	2	2-approval	(0,)	15.909894179894176	25.69711446762085
10	1000	0.5	0.9	2	Borda	(0,)	355.2172740299821	35.002193450927734
10	1000	0.5	0.1	9	Plurality	(0,)	75.45529596560834	5.967456340789795
10	1000	0.5	0.1	9	2-approval	(0,)	149.1275314153437	6.862804412841797
10	1000	0.5	0.1	9	Borda	(0,)	3198.2368027998255	12.119409799575806
10	1000	0.9	0.1	4	Plurality	(2,)	70.38727182539698	5.7315967082977295
10	1000	0.9	0.1	4	2-approval	(2,)	140.64645723104104	6.587663888931274
10	1000	0.9	0.1	4	Borda	(2,)	3147.29832175926	11.631732940673828
10	1000	0.1	0.1	6	Plurality	(0,)	77.31246803350943	5.905832290649414
10	1000	0.1	0.1	6	2-approval	(0,)	152.70543099647244	6.855929374694824
10	1000	0.1	0.1	6	Borda	(0,)	3265.5467482363347	12.44076919555664
10	100	0.5	0.5	2	Plurality	(0,)	2.4214511684303357	2.1493186950683594
10	100	0.5	0.5	2	2-approval	(0,)	4.819132220017638	2.4570701122283936
10	100	0.5	0.5	2	Borda	(0,)	106.8559691909171	4.195737600326538
10	10000	0.5	0.1	1	Plurality	(0,)	752.8977248677985	58.34309101104736
10	10000	0.5	0.1	1	2-approval	(0,)	1489.000935295565	66.26010847091675
10	10000	0.5	0.1	1	Borda	(0,)	32021.368651620247	118.37807488441467
10	1000	0.5	0.5	7	Plurality	(0,)	19.43086888227513	25.138086557388306
10	1000	0.5	0.5	7	2-approval	(0,)	38.56186728395063	29.558658123016357
10	1000	0.5	0.5	7	Borda	(0,)	846.2372563932973	54.76072144508362
10	100	0.5	0.1	7	Plurality	(0,)	7.7027777777777695	0.6205472946166992
10	100	0.5	0.1	7	2-approval	(0,)	15.260895061728379	0.7171890735626221
10	100	0.5	0.1	7	Borda	(0,)	330.45436507936506	1.3059625625610352
10	10000	0.5	0.9	3	Plurality	(0,)	83.70285135581908	238.54903507232666
10	10000	0.5	0.9	3	2-approval	(0,)	166.85764991181452	253.03557109832764
10	10000	0.5	0.9	3	Borda	(0,)	3727.396844686971	337.40210723876953
10	10000	0.5	0.5	8	Plurality	(0,)	193.37564677027402	244.8515248298645
10	10000	0.5	0.5	8	2-approval	(0,)	383.1482864858756	287.4437925815582
10	10000	0.5	0.5	8	Borda	(0,)	8402.869268077577	526.176961183548
10	1000	0.5	0.1	2	Plurality	(0,)	74.21925099206337	5.9716267585754395
10	1000	0.5	0.1	2	2-approval	(0,)	146.59331679894194	6.876533031463623
10	1000	0.5	0.1	2	Borda	(1,)	3185.1213445216054	12.793259382247925
10	1000	0.5	0.9	4	Plurality	(0,)	8.486978339947084	23.524970769882202
10	1000	0.5	0.9	4	2-approval	(0,)	16.913270227072278	25.20980405807495
10	1000	0.5	0.9	4	Borda	(0,)	377.9210267857143	33.03379821777344
10	1000	0.9	0.1	6	Plurality	(1,)	69.39178571428596	6.331138372421265
10	1000	0.9	0.1	6	2-approval	(1,)	138.47357363315754	7.358870267868042
10	1000	0.9	0.1	6	Borda	(1,)	3084.038039296733	13.31050968170166
10	1000	0.1	0.1	8	Plurality	(0,)	76.14047619047594	6.252553224563599
10	1000	0.1	0.1	8	2-approval	(0,)	150.21075947971752	7.25182032585144
10	1000	0.1	0.1	8	Borda	(0,)	3200.3011615410073	13.029972076416016
10	100	0.5	0.5	4	Plurality	(2,)	1.7535339506172842	2.493210792541504
10	100	0.5	0.5	4	2-approval	(2,)	3.487093253968254	2.9418907165527344
10	100	0.5	0.5	4	Borda	(4,)	79.06950424382717	5.771940231323242
10	1000	0.5	0.5	0	Plurality	(0,)	18.50847249779543	24.026981353759766
10	1000	0.5	0.5	0	2-approval	(0,)	36.63920855379192	27.7510085105896
10	1000	0.5	0.5	0	Borda	(0,)	800.7116754850085	52.29549479484558
10	100	0.5	0.1	0	Plurality	(4,)	7.699305555555545	0.5551550388336182
10	100	0.5	0.1	0	2-approval	(4,)	15.373225308641958	0.6396141052246094
10	100	0.5	0.1	0	Borda	(4,)	342.85092592592594	1.1038398742675781
10	10000	0.5	0.1	3	Plurality	(0,)	753.9954580027203	57.81943726539612
10	10000	0.5	0.1	3	2-approval	(0,)	1490.779587191506	65.6194076538086
10	10000	0.5	0.1	3	Borda	(0,)	32028.716991291873	118.15730905532837
10	1000	0.5	0.5	9	Plurality	(0,)	19.92182457010583	25.513817071914673
10	1000	0.5	0.5	9	2-approval	(0,)	39.4985226521164	29.985454559326172
10	1000	0.5	0.5	9	Borda	(0,)	864.8739172729274	56.36757850646973
10	10000	0.5	0.9	5	Plurality	(0,)	85.8256881062598	238.74735713005066
10	10000	0.5	0.9	5	2-approval	(0,)	171.03588128306612	254.2925226688385
10	10000	0.5	0.9	5	Borda	(0,)	3820.011886022953	342.8670244216919
10	10000	0.5	0.5	1	Plurality	(0,)	182.69726025131604	248.50304794311523
10	10000	0.5	0.5	1	2-approval	(0,)	362.0129626873768	290.07360219955444
10	10000	0.5	0.5	1	Borda	(0,)	7932.35527584876	536.1360218524933
10	1000	0.1	0.1	1	Plurality	(0,)	77.79883928571401	6.13235878944397
10	1000	0.1	0.1	1	2-approval	(0,)	153.07250881834173	7.019527912139893
10	1000	0.1	0.1	1	Borda	(0,)	3232.568655753967	12.935713768005371
10	1000	0.9	0.1	8	Plurality	(1,)	69.96049603174619	5.80402946472168
10	1000	0.9	0.1	8	2-approval	(1,)	139.55580687830732	6.66589093208313
10	1000	0.9	0.1	8	Borda	(1,)	3108.7217366622585	11.529481649398804
10	100	0.5	0.5	6	Plurality	(1,)	2.3836841380070557	2.319215774536133
10	100	0.5	0.5	6	2-approval	(1,)	4.766824570105822	2.7054426670074463
10	100	0.5	0.5	6	Borda	(1,)	106.40226245590833	4.6797871589660645
10	1000	0.5	0.5	2	Plurality	(1,)	17.233545800264533	25.19872260093689
10	1000	0.5	0.5	2	2-approval	(1,)	34.256484512786564	29.613664865493774
10	1000	0.5	0.5	2	Borda	(1,)	754.6176590057311	56.60260248184204
10	10000	0.5	0.1	5	Plurality	(0,)	754.3163070437254	59.05294609069824
10	10000	0.5	0.1	5	2-approval	(0,)	1491.7643854719258	68.13803768157959
10	10000	0.5	0.1	5	Borda	(0,)	32061.779591324863	122.58971238136292
10	10000	0.5	0.9	7	Plurality	(0,)	82.44528714726522	237.56292629241943
10	10000	0.5	0.9	7	2-approval	(0,)	164.2635766644602	254.1130974292755
10	10000	0.5	0.9	7	Borda	(0,)	3666.69703014773	330.4050724506378
10	10000	0.5	0.5	3	Plurality	(0,)	187.4173175705389	251.4964325428009
10	10000	0.5	0.5	3	2-approval	(0,)	371.2693121692991	292.3946707248688
10	10000	0.5	0.5	3	Borda	(0,)	8136.551060956811	552.9457907676697
10	1000	0.9	0.1	1	Plurality	(2,)	71.47665674603188	5.375865936279297
10	1000	0.9	0.1	1	2-approval	(2,)	142.6534611992949	6.237802505493164
10	1000	0.9	0.1	1	Borda	(2,)	3184.6093584656082	10.588973045349121
10	1000	0.1	0.1	3	Plurality	(0,)	78.17863095238073	6.021680116653442
10	1000	0.1	0.1	3	2-approval	(0,)	154.3376609347439	7.057006597518921
10	1000	0.1	0.1	3	Borda	(0,)	3298.970018738975	12.693890810012817
10	100	0.5	0.5	8	Plurality	(1,)	1.68995811287478	2.3578076362609863
10	100	0.5	0.5	8	2-approval	(1,)	3.386958774250442	2.727097511291504
10	100	0.5	0.5	8	Borda	(1,)	75.52982997134038	5.087425470352173
10	1000	0.5	0.5	4	Plurality	(0,)	19.44735780423282	24.618106365203857
10	1000	0.5	0.5	4	2-approval	(0,)	38.610540399030036	28.342946767807007
10	1000	0.5	0.5	4	Borda	(0,)	849.8483424272488	52.032854080200195
10	10000	0.5	0.9	0	Plurality	(0,)	85.43068397266195	239.54850554466248
10	10000	0.5	0.9	0	2-approval	(0,)	170.27854111551738	253.13868165016174
10	10000	0.5	0.9	0	Borda	(0,)	3802.8277896274494	341.4124262332916
10	10000	0.5	0.5	5	Plurality	(0,)	189.8388731812091	249.47074007987976
10	10000	0.5	0.5	5	2-approval	(0,)	376.2899589395791	290.27454352378845
10	10000	0.5	0.5	5	Borda	(0,)	8255.028485449706	540.1909608840942
10	1000	0.9	0.1	3	Plurality	(4,)	69.57833333333356	5.746946334838867
10	1000	0.9	0.1	3	2-approval	(4,)	139.30856481481533	6.619478702545166
10	1000	0.9	0.1	3	Borda	(4,)	3141.3786596119917	11.565988779067993
10	1000	0.1	0.1	5	Plurality	(0,)	75.82728174603157	5.931106328964233
10	1000	0.1	0.1	5	2-approval	(0,)	149.27192460317448	6.821965932846069
10	1000	0.1	0.1	5	Borda	(0,)	3157.5066578483293	11.971917390823364
10	100	0.5	0.9	8	Plurality	(1,)	0.8201460537918871	2.368312358856201
10	100	0.5	0.9	8	2-approval	(1,)	1.6355282738095231	2.5170445442199707
10	100	0.5	0.9	8	Borda	(2,)	36.65146053791885	3.358912229537964
10	100	0.5	0.5	1	Plurality	(0,)	1.8831453924162262	2.4502570629119873
10	100	0.5	0.5	1	2-approval	(0,)	3.7356564153439153	2.8958520889282227
10	100	0.5	0.5	1	Borda	(4,)	83.91944940476189	5.600714921951294
10	1000	0.5	0.5	6	Plurality	(0,)	21.122014440035283	24.519282341003418
10	1000	0.5	0.5	6	2-approval	(0,)	41.91972690696657	28.4143328666687
10	1000	0.5	0.5	6	Borda	(0,)	922.1200788139324	53.27567529678345
10	100	0.5	0.1	9	Plurality	(2,)	8.095833333333323	0.4929046630859375
10	100	0.5	0.1	9	2-approval	(2,)	16.12314814814813	0.5564877986907959
10	100	0.5	0.1	9	Borda	(2,)	353.97222222222223	0.9115962982177734
10	10000	0.5	0.5	7	Plurality	(0,)	184.90280037477285	246.58237147331238
10	10000	0.5	0.5	7	2-approval	(0,)	366.3974553571279	283.6662356853485
10	10000	0.5	0.5	7	Borda	(0,)	8029.692973985876	524.8574151992798
10	100	0.5	0.9	1	Plurality	(0,)	0.9124291776895945	2.3993966579437256
10	100	0.5	0.9	1	2-approval	(0,)	1.8203662367724873	2.5208547115325928
10	100	0.5	0.9	1	Borda	(0,)	40.752777226631366	3.4071433544158936
10	1000	0.9	0.1	5	Plurality	(0,)	70.16311507936521	5.3427894115448
10	1000	0.9	0.1	5	2-approval	(0,)	139.87720238095295	6.1206817626953125
10	1000	0.9	0.1	5	Borda	(8,)	3108.0277915564375	10.591177940368652
10	1000	0.1	0.1	7	Plurality	(0,)	77.60807539682507	5.939783811569214
10	1000	0.1	0.1	7	2-approval	(0,)	152.85505511463805	6.912848949432373
10	1000	0.1	0.1	7	Borda	(0,)	3240.012243716931	12.453315019607544
10	1000	0.5	0.1	4	Plurality	(0,)	74.70409722222206	5.658575057983398
10	1000	0.5	0.1	4	2-approval	(0,)	147.80267195767198	6.518476486206055
10	1000	0.5	0.1	4	Borda	(1,)	3182.1867724867716	11.266602754592896
10	1000	0.5	0.9	6	Plurality	(0,)	8.555421075837728	23.612285375595093
10	1000	0.5	0.9	6	2-approval	(0,)	17.037360835537907	24.85721230506897
10	1000	0.5	0.9	6	Borda	(0,)	379.7850165343906	32.962311029434204
10	1000	0.5	0.5	8	Plurality	(0,)	19.050720072751325	24.973474740982056
10	1000	0.5	0.5	8	2-approval	(0,)	37.6883906525573	28.927600383758545
10	1000	0.5	0.5	8	Borda	(0,)	824.7781046075828	53.33551740646362
10	100	0.5	0.1	2	Plurality	(4,)	7.745833333333322	0.5533924102783203
10	100	0.5	0.1	2	2-approval	(4,)	15.44166666666665	0.6548912525177002
10	100	0.5	0.1	2	Borda	(4,)	341.9119047619048	1.237640380859375
10	10000	0.5	0.5	0	Plurality	(0,)	182.03662588182638	251.9528329372406
10	10000	0.5	0.5	0	2-approval	(0,)	360.8662147266174	291.4584014415741
10	10000	0.5	0.5	0	Borda	(0,)	7918.188080908314	548.2350766658783
10	10000	0.5	0.5	9	Plurality	(0,)	190.89169753085642	249.5842306613922
10	10000	0.5	0.5	9	2-approval	(0,)	378.46765735227837	294.1287422180176
10	10000	0.5	0.5	9	Borda	(0,)	8309.904898864637	543.2477753162384
10	1000	0.1	0.1	0	Plurality	(0,)	79.12502976190446	5.512352466583252
10	1000	0.1	0.1	0	2-approval	(0,)	156.0798875661372	6.28617000579834
10	1000	0.1	0.1	0	Borda	(0,)	3321.5235047398583	10.964402198791504
10	100	0.5	0.9	3	Plurality	(0,)	0.917355048500882	2.3909294605255127
10	100	0.5	0.9	3	2-approval	(0,)	1.8320232583774254	2.5513756275177
10	100	0.5	0.9	3	Borda	(0,)	40.94987268518519	3.416686773300171
10	1000	0.1	0.1	9	Plurality	(0,)	77.28222222222199	6.097469329833984
10	1000	0.1	0.1	9	2-approval	(0,)	152.47566358024667	7.011414289474487
10	1000	0.1	0.1	9	Borda	(0,)	3245.857167658732	12.4859938621521
10	1000	0.5	0.1	6	Plurality	(0,)	76.59406746031715	5.29559063911438
10	1000	0.5	0.1	6	2-approval	(0,)	151.46608245149898	6.045527219772339
10	1000	0.5	0.1	6	Borda	(0,)	3256.074360670194	10.458996534347534
10	1000	0.5	0.9	8	Plurality	(0,)	7.961763117283945	23.51795506477356
10	1000	0.5	0.9	8	2-approval	(0,)	15.872371582892416	24.86878800392151
10	1000	0.5	0.9	8	Borda	(0,)	354.85770778218637	33.03022909164429
10	1000	0.5	0.5	1	Plurality	(1,)	17.705623622134045	25.095001697540283
10	1000	0.5	0.5	1	2-approval	(1,)	35.154367008377456	29.297488689422607
10	1000	0.5	0.5	1	Borda	(1,)	774.3680291005294	54.26455497741699
10	100	0.5	0.1	4	Plurality	(1,)	7.681507936507927	0.7006995677947998
10	100	0.5	0.1	4	2-approval	(1,)	15.192383156966473	0.8184716701507568
10	100	0.5	0.1	4	Borda	(5,)	332.8381613756614	1.5105934143066406
10	10000	0.5	0.1	7	Plurality	(0,)	750.8800892857886	59.06353831291199
10	10000	0.5	0.1	7	2-approval	(0,)	1484.5515112435364	66.92568445205688
10	10000	0.5	0.1	7	Borda	(0,)	31889.630815145432	121.45249485969543
10	10000	0.5	0.9	9	Plurality	(0,)	78.63237461419706	237.19910788536072
10	10000	0.5	0.9	9	2-approval	(0,)	156.63921186066892	256.1669306755066
10	10000	0.5	0.9	9	Borda	(0,)	3496.378897707246	339.87447357177734
10	10000	0.5	0.5	2	Plurality	(0,)	188.60540095898745	252.62028574943542
10	10000	0.5	0.5	2	2-approval	(0,)	373.95325451938595	287.39520144462585
10	10000	0.5	0.5	2	Borda	(0,)	8210.810038580226	541.8060455322266
10	1000	0.1	0.1	2	Plurality	(0,)	76.56072420634905	6.242224931716919
10	1000	0.1	0.1	2	2-approval	(0,)	150.95906084656048	7.314224004745483
10	1000	0.1	0.1	2	Borda	(0,)	3210.0558697089905	13.141563653945923
10	100	0.5	0.9	5	Plurality	(0,)	1.7191052138447978	2.5624923706054688
10	100	0.5	0.9	5	2-approval	(0,)	3.4339982914462084	2.8520729541778564
10	100	0.5	0.9	5	Borda	(0,)	76.981932319224	4.197041273117065
10	1000	0.5	0.9	1	Plurality	(0,)	8.376225749559081	23.69643545150757
10	1000	0.5	0.9	1	2-approval	(0,)	16.690077711640203	25.119889974594116
10	1000	0.5	0.9	1	Borda	(0,)	372.7715470679012	33.13651180267334
10	1000	0.5	0.1	8	Plurality	(0,)	74.75430555555546	5.921088695526123
10	1000	0.5	0.1	8	2-approval	(0,)	147.68077160493826	6.839337110519409
10	1000	0.5	0.1	8	Borda	(2,)	3228.0847222222233	12.46582818031311
10	10000	0.5	0.1	0	Plurality	(0,)	747.625974702455	58.169140577316284
10	10000	0.5	0.1	0	2-approval	(0,)	1478.668851135502	67.08205652236938
10	10000	0.5	0.1	0	Borda	(0,)	31788.147042548448	119.72262454032898
10	10000	0.5	0.9	2	Plurality	(0,)	84.50911265431967	238.57382464408875
10	10000	0.5	0.9	2	2-approval	(0,)	168.40821786816343	254.3294541835785
10	10000	0.5	0.9	2	Borda	(0,)	3761.3950961750547	336.4265344142914
10	100	0.5	0.1	6	Plurality	(0,)	7.958333333333321	0.4879915714263916
10	100	0.5	0.1	6	2-approval	(0,)	15.738425925925904	0.5544834136962891
10	100	0.5	0.1	6	Borda	(6,)	338.2721230158731	0.9300153255462646
10	10000	0.5	0.1	9	Plurality	(0,)	751.0948933532452	57.35329580307007
10	10000	0.5	0.1	9	2-approval	(0,)	1484.4710752867388	65.73992800712585
10	10000	0.5	0.1	9	Borda	(0,)	31825.71703428114	117.39934611320496
10	10000	0.5	0.5	4	Plurality	(0,)	186.13304150131475	248.95165538787842
10	10000	0.5	0.5	4	2-approval	(0,)	369.13917576056787	293.79850363731384
10	10000	0.5	0.5	4	Borda	(0,)	8099.6786306768	543.6388366222382
10	1000	0.1	0.1	4	Plurality	(0,)	78.02166666666636	5.574587345123291
10	1000	0.1	0.1	4	2-approval	(0,)	153.71032407407364	6.507652759552002
10	1000	0.1	0.1	4	Borda	(1,)	3274.485043264991	11.36540937423706
10	100	0.5	0.9	7	Plurality	(2,)	1.015427414021164	2.380676746368408
10	100	0.5	0.9	7	2-approval	(2,)	2.029449404761905	2.521745443344116
10	100	0.5	0.9	7	Borda	(2,)	45.52510251322753	3.415456533432007
10	1000	0.5	0.1	1	Plurality	(0,)	74.15870039682531	6.163902282714844
10	1000	0.5	0.1	1	2-approval	(0,)	146.53182208994718	7.0115110874176025
10	1000	0.5	0.1	1	Borda	(1,)	3167.6297062389776	12.45449161529541
10	1000	0.5	0.9	3	Plurality	(0,)	8.187872850529091	23.580827474594116
10	1000	0.5	0.9	3	2-approval	(0,)	16.322061011904736	24.86123824119568
10	1000	0.5	0.9	3	Borda	(0,)	364.30300209435586	32.43730092048645
10	100	0.5	0.5	3	Plurality	(0,)	2.0431084656084666	2.315965414047241
10	100	0.5	0.5	3	2-approval	(0,)	4.050480324074074	2.6519932746887207
10	100	0.5	0.5	3	Borda	(0,)	88.83904100529098	4.721189737319946
10	10000	0.5	0.1	2	Plurality	(0,)	746.67434275801	59.94108247756958
10	10000	0.5	0.1	2	2-approval	(0,)	1476.1412626765102	69.25771713256836
10	10000	0.5	0.1	2	Borda	(0,)	31686.554921737075	124.27726888656616
10	10000	0.5	0.9	4	Plurality	(0,)	77.96818672839404	238.03429508209229
10	10000	0.5	0.9	4	2-approval	(0,)	155.1740043540545	255.81780648231506
10	10000	0.5	0.9	4	Borda	(0,)	3459.806317515458	339.5317587852478
10	100	0.5	0.1	8	Plurality	(0,)	8.106463293650783	0.6818099021911621
10	100	0.5	0.1	8	2-approval	(0,)	16.02711254409169	0.8035764694213867
10	100	0.5	0.1	8	Borda	(0,)	344.2723346560846	1.5177133083343506
10	100	0.5	0.9	0	Plurality	(0,)	1.1190330136684306	2.4518816471099854
10	100	0.5	0.9	0	2-approval	(0,)	2.230749834656085	2.6546106338500977
10	100	0.5	0.9	0	Borda	(0,)	49.90435047398587	3.768498659133911
10	100	0.5	0.9	9	Plurality	(1,)	0.6066176146384479	2.3150746822357178
10	100	0.5	0.9	9	2-approval	(1,)	1.2120557760141095	2.4303693771362305
10	100	0.5	0.9	9	Borda	(1,)	27.182378472222204	3.0124711990356445
10	1000	0.5	0.1	3	Plurality	(0,)	76.26287698412678	5.732007741928101
10	1000	0.5	0.1	3	2-approval	(0,)	150.8357231040562	6.607209205627441
10	1000	0.5	0.1	3	Borda	(0,)	3238.0664561287454	11.896245241165161
10	1000	0.5	0.9	5	Plurality	(0,)	6.975919312169308	23.943336009979248
10	1000	0.5	0.9	5	2-approval	(0,)	13.895225143298033	25.568391799926758
10	1000	0.5	0.9	5	Borda	(0,)	310.0277965167546	34.432610750198364
10	1000	0.9	0.1	7	Plurality	(1,)	70.15986111111128	5.887313365936279
10	1000	0.9	0.1	7	2-approval	(1,)	139.98793209876592	6.715569257736206
10	1000	0.9	0.1	7	Borda	(1,)	3120.534391534392	12.035671710968018
10	100	0.5	0.5	5	Plurality	(1,)	2.1481825947971784	2.6167333126068115
10	100	0.5	0.5	5	2-approval	(1,)	4.270671296296298	3.1182775497436523
10	100	0.5	0.5	5	Borda	(1,)	93.96815917107581	5.967705488204956
10	100	0.5	0.1	1	Plurality	(4,)	7.756249999999989	0.5109529495239258
10	100	0.5	0.1	1	2-approval	(4,)	15.447916666666648	0.5884535312652588
10	100	0.5	0.1	1	Borda	(4,)	341.64692460317457	1.0970277786254883
10	10000	0.5	0.1	4	Plurality	(0,)	758.7226628638299	58.030890226364136
10	10000	0.5	0.1	4	2-approval	(0,)	1500.994493772197	66.52048015594482
10	10000	0.5	0.1	4	Borda	(0,)	32304.280696648777	119.15980076789856
10	10000	0.5	0.9	6	Plurality	(0,)	84.85321952160403	238.3330533504486
10	10000	0.5	0.9	6	2-approval	(0,)	169.1320621141954	257.98235297203064
10	10000	0.5	0.9	6	Borda	(0,)	3777.331471285291	340.4391589164734
