m	n	phi	num_buckets	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.9	2	5	Plurality	(1,)	123.00713923905013	123.00713923904873	2	0.012560844421386719	0.0032629966735839844	0.15690135955810547	0.1968531608581543
10	1000	0.9	2	5	2-approval	(1,)	235.73161990438786	234.7316199043897	3	0.012456893920898438	0.003170490264892578	0.16212224960327148	0.20203018188476562
10	1000	0.9	2	5	Borda	(0,)	4803.903560842994	4791.903560843031	2	0.012355804443359375	0.0033845901489257812	0.36412954330444336	0.4213411808013916
10	1000	0.9	2	8	Plurality	(0,)	128.84074209187378	122.84074209187193	13	0.012786626815795898	0.003215789794921875	0.1548013687133789	0.19512557983398438
10	1000	0.9	2	8	2-approval	(0,)	240.07137610270527	233.07137610270314	16	0.012638092041015625	0.0031042098999023438	0.16133379936218262	0.20186734199523926
10	1000	0.9	2	8	Borda	(2,)	4737.915326882526	4737.91532688255	0	0.012407779693603516	0.003431081771850586	0.367509126663208	0.42452263832092285
10	1000	0.5	2	0	Plurality	(0,)	414.773496761863	255.77349676186685	251	0.012326240539550781	0.0023298263549804688	0.10872888565063477	0.1401071548461914
10	1000	0.5	2	0	2-approval	(0,)	549.7964315350648	365.79643153505975	303	0.01227569580078125	0.0020956993103027344	0.10472774505615234	0.1345529556274414
10	1000	0.5	2	0	Borda	(0,)	6674.098619766887	5635.09861976688	250	0.012637138366699219	0.00240325927734375	0.2604818344116211	0.303619384765625
10	1000	0.1	2	0	Plurality	(0,)	846.834428124333	323.8344281243323	603	0.012313604354858398	0.0012683868408203125	0.06022191047668457	0.08319735527038574
10	1000	0.1	2	0	2-approval	(0,)	879.056230258415	428.0562302584074	537	0.012320995330810547	0.0013704299926757812	0.06693196296691895	0.09067463874816895
10	1000	0.1	2	0	Borda	(0,)	8378.127458761019	6070.127458760981	571	0.013072013854980469	0.00135040283203125	0.1323087215423584	0.16160249710083008
10	1000	0.1	2	6	Plurality	(0,)	882.9819801497714	327.9819801497706	608	0.012547492980957031	0.0012464523315429688	0.0592806339263916	0.08227992057800293
10	1000	0.1	2	6	2-approval	(0,)	916.0085811468749	435.00858114686844	543	0.012642621994018555	0.0013401508331298828	0.06542181968688965	0.08905339241027832
10	1000	0.1	2	6	Borda	(0,)	8569.394248351064	6150.394248351037	592	0.012405633926391602	0.0012755393981933594	0.12138867378234863	0.1489574909210205
10	1000	0.5	2	6	Plurality	(0,)	398.04106776039436	262.0410677603987	223	0.012409687042236328	0.0023872852325439453	0.1080942153930664	0.13994836807250977
10	1000	0.5	2	6	2-approval	(0,)	533.8466470251717	381.8466470251689	253	0.012627601623535156	0.002219676971435547	0.10769534111022949	0.13878536224365234
10	1000	0.5	2	6	Borda	(0,)	6591.298906435308	5750.2989064353	204	0.01237177848815918	0.0025129318237304688	0.25870347023010254	0.30177831649780273
10	1000	0.5	2	3	Plurality	(0,)	394.3663767932902	250.36637679329436	226	0.012453317642211914	0.002387523651123047	0.11218380928039551	0.14435982704162598
10	1000	0.5	2	3	2-approval	(0,)	523.0013060563667	365.0013060563622	256	0.012502193450927734	0.002257823944091797	0.11138558387756348	0.14249324798583984
10	1000	0.5	2	3	Borda	(0,)	6544.019518743691	5614.019518743685	221	0.012375354766845703	0.0025148391723632812	0.2663395404815674	0.3103981018066406
10	1000	0.1	2	3	Plurality	(0,)	863.6351663691416	322.6351663691406	598	0.012446403503417969	0.0012912750244140625	0.06318402290344238	0.0865790843963623
10	1000	0.1	2	3	2-approval	(0,)	896.0770651960042	422.0770651959967	537	0.012369632720947266	0.0013837814331054688	0.06968474388122559	0.0935513973236084
10	1000	0.1	2	3	Borda	(0,)	8439.764044619771	6075.764044619752	588	0.012506961822509766	0.0013306140899658203	0.12770938873291016	0.15574860572814941
10	1000	0.1	2	9	Plurality	(0,)	858.3307497712567	314.33074977125483	605	0.012574195861816406	0.0012829303741455078	0.06543898582458496	0.08902645111083984
10	1000	0.1	2	9	2-approval	(0,)	888.8155622006122	452.81556220060577	506	0.01260828971862793	0.0014204978942871094	0.06957268714904785	0.09379816055297852
10	1000	0.1	2	9	Borda	(0,)	8434.556058038886	6167.556058038889	559	0.012418031692504883	0.001373291015625	0.13294506072998047	0.16154718399047852
10	1000	0.5	2	9	Plurality	(0,)	402.6549141320652	251.65491413206882	260	0.01230311393737793	0.0023071765899658203	0.10793781280517578	0.13943839073181152
10	1000	0.5	2	9	2-approval	(0,)	528.9278029954105	363.9278029954087	284	0.012464284896850586	0.002104043960571289	0.10583376884460449	0.13639020919799805
10	1000	0.5	2	9	Borda	(0,)	6515.636160226179	5619.636160226182	217	0.012459754943847656	0.0025119781494140625	0.26692843437194824	0.31070423126220703
10	1000	0.9	2	1	Plurality	(0,)	129.01133673693	121.01133673692819	14	0.012605428695678711	0.0032041072845458984	0.157273530960083	0.19763970375061035
10	1000	0.9	2	1	2-approval	(0,)	239.31103295044466	228.3110329504427	21	0.012558460235595703	0.0031349658966064453	0.16506505012512207	0.2055799961090088
10	1000	0.9	2	1	Borda	(0,)	4763.066174475558	4687.066174475607	18	0.012675762176513672	0.0033833980560302734	0.3724651336669922	0.4309046268463135
10	1000	0.9	2	4	Plurality	(0,)	134.67127980649553	122.67127980649323	22	0.01236867904663086	0.003216981887817383	0.15187287330627441	0.1911637783050537
10	1000	0.9	2	4	2-approval	(0,)	250.77522942708336	229.77522942708086	38	0.012664318084716797	0.0031125545501708984	0.15546941757202148	0.1953127384185791
10	1000	0.9	2	4	Borda	(0,)	4898.26773543369	4769.267735433723	32	0.012495040893554688	0.0032482147216796875	0.35684776306152344	0.4125330448150635
10	1000	0.9	2	7	Plurality	(1,)	121.53273246004449	121.53273246004262	0	0.012657403945922852	0.003247976303100586	0.1525440216064453	0.19238924980163574
10	1000	0.9	2	7	2-approval	(1,)	234.53299518039228	232.53299518039358	3	0.012389421463012695	0.003125429153442383	0.1616368293762207	0.20107507705688477
10	1000	0.9	2	7	Borda	(1,)	4792.378439720031	4764.378439720078	6	0.013510465621948242	0.0034220218658447266	0.3742232322692871	0.4326150417327881
10	1000	0.5	2	2	Plurality	(0,)	414.69515683898265	255.6951568389873	240	0.012652158737182617	0.0023539066314697266	0.11076140403747559	0.14256024360656738
10	1000	0.5	2	2	2-approval	(0,)	546.2195145273631	367.2195145273599	274	0.012416362762451172	0.002165555953979492	0.10668444633483887	0.13707804679870605
10	1000	0.5	2	2	Borda	(0,)	6637.966381038207	5665.966381038202	236	0.01287841796875	0.0024611949920654297	0.25783729553222656	0.3013572692871094
10	1000	0.1	2	2	Plurality	(0,)	862.973095494931	329.97309549492974	590	0.012399435043334961	0.0013020038604736328	0.06269168853759766	0.08597588539123535
10	1000	0.1	2	2	2-approval	(0,)	894.9598119846639	440.95981198465637	523	0.012370824813842773	0.0014090538024902344	0.07017064094543457	0.09436702728271484
10	1000	0.1	2	2	Borda	(0,)	8439.364647475586	6079.364647475555	582	0.01351785659790039	0.0013239383697509766	0.12973570823669434	0.15895986557006836
10	1000	0.1	2	8	Plurality	(0,)	874.0623591650832	330.0623591650821	606	0.012497901916503906	0.001275777816772461	0.059012651443481445	0.08230352401733398
10	1000	0.1	2	8	2-approval	(0,)	907.1242844990546	423.12428449904746	559	0.012438297271728516	0.0013051033020019531	0.06495928764343262	0.08885455131530762
10	1000	0.1	2	8	Borda	(0,)	8492.335283481461	6129.335283481443	591	0.012551546096801758	0.0012843608856201172	0.12107110023498535	0.14862895011901855
10	1000	0.9	2	0	Plurality	(0,)	130.07134241189127	125.07134241188851	9	0.012591838836669922	0.00324249267578125	0.15683841705322266	0.19693207740783691
10	1000	0.9	2	0	2-approval	(0,)	243.2885270416747	238.288527041673	10	0.01244664192199707	0.003133058547973633	0.1602768898010254	0.19979095458984375
10	1000	0.9	2	0	Borda	(0,)	4895.110857570961	4811.110857571038	19	0.012415885925292969	0.0032911300659179688	0.359299898147583	0.4154541492462158
10	1000	0.5	2	5	Plurality	(0,)	391.6524633902153	256.6524633902197	215	0.012366771697998047	0.002400636672973633	0.1114497184753418	0.14357519149780273
10	1000	0.5	2	5	2-approval	(0,)	522.4044106090319	379.4044106090277	234	0.012439489364624023	0.002256155014038086	0.11014056205749512	0.14167046546936035
10	1000	0.5	2	5	Borda	(0,)	6486.76434388417	5775.764343884155	174	0.012373685836791992	0.0026171207427978516	0.26755666732788086	0.31179308891296387
10	1000	0.1	2	5	Plurality	(0,)	872.9506022121719	329.9506022121716	596	0.01266169548034668	0.001287221908569336	0.060448646545410156	0.08383607864379883
10	1000	0.1	2	5	2-approval	(0,)	905.92887887829	426.9288788782824	537	0.012357473373413086	0.0013833045959472656	0.06862497329711914	0.09230470657348633
10	1000	0.1	2	5	Borda	(0,)	8505.86052270016	6165.8605227001235	580	0.012429952621459961	0.0012879371643066406	0.12438654899597168	0.152083158493042
10	1000	0.9	2	3	Plurality	(0,)	135.83293727580465	123.83293727580248	21	0.012768983840942383	0.0031654834747314453	0.1528303623199463	0.19255590438842773
10	1000	0.9	2	3	2-approval	(0,)	248.68113078588445	235.68113078588226	31	0.012544631958007812	0.0030100345611572266	0.1542055606842041	0.1930851936340332
10	1000	0.9	2	3	Borda	(0,)	4846.540264894743	4741.5402648947775	24	0.012393951416015625	0.0033109188079833984	0.3663465976715088	0.4222440719604492
10	1000	0.9	2	9	Plurality	(1,)	133.35061507749882	124.35061507749731	14	0.012470006942749023	0.0032050609588623047	0.15066266059875488	0.19002127647399902
10	1000	0.9	2	9	2-approval	(1,)	250.66941346050015	235.66941346050174	28	0.012655496597290039	0.003105640411376953	0.156327486038208	0.195892333984375
10	1000	0.9	2	9	Borda	(1,)	4849.038541305796	4730.038541305836	28	0.012499094009399414	0.003328561782836914	0.36771488189697266	0.42391347885131836
10	1000	0.5	2	8	Plurality	(0,)	401.47038206093816	254.47038206094183	234	0.012440681457519531	0.002359628677368164	0.11203575134277344	0.1441335678100586
10	1000	0.5	2	8	2-approval	(0,)	533.1066227135984	370.1066227135941	267	0.012682437896728516	0.002210378646850586	0.10942292213439941	0.14068055152893066
10	1000	0.5	2	8	Borda	(0,)	6532.226584335884	5721.226584335879	206	0.012542724609375	0.0025272369384765625	0.2630488872528076	0.3070533275604248
10	1000	0.9	2	6	Plurality	(1,)	127.9986468819687	127.99864688196807	0	0.012557506561279297	0.003244161605834961	0.15859651565551758	0.1983954906463623
10	1000	0.9	2	6	2-approval	(1,)	249.05496348774233	245.05496348774494	5	0.012383699417114258	0.0030977725982666016	0.16083550453186035	0.20026946067810059
10	1000	0.9	2	6	Borda	(1,)	4894.018385874413	4869.018385874432	5	0.01267242431640625	0.0033559799194335938	0.3618896007537842	0.4179706573486328
